Longitude,Jan,Feb,Nov,Dec,Jan_std,Feb_std,Nov_std,Dec_std
0.0,-53.75821113586426,-54.345516204833984,-53.386756896972656,-53.76213836669922,0.9733989508554252,0.9808705750814228,1.1327269515482767,1.100443002311332
0.5,-53.68391990661621,-54.05250930786133,-53.386756896972656,-53.535078048706055,1.025988043117034,0.9383463656251112,1.174286821820781,1.152864984632307
1.0,-53.53559875488281,-53.905487060546875,-53.31194496154785,-53.3862361907959,0.9643039448893511,0.8317183348694075,1.1475675164708443,1.082193805945322
1.5,-53.461307525634766,-53.75768852233887,-53.23739433288574,-53.31194496154785,0.888876339208459,0.7883171597120536,1.1566380595582515,1.0576163667553495
2.0,-53.087507247924805,-53.609628677368164,-53.087507247924805,-53.23686981201172,0.8853258420016884,0.8475758892742392,1.1660622973662582,1.0677043243866051
2.5,-53.087507247924805,-53.4610481262207,-53.01217079162598,-53.08698272705078,0.9145340629045515,0.9378490213183409,1.1762248991664812,1.1210304574275969
3.0,-52.937095642089844,-53.3862361907959,-52.937095642089844,-53.08698272705078,0.9598685606440465,1.0246974723591697,1.1801191509103952,1.1866619033556887
3.5,-52.937095642089844,-53.3862361907959,-52.937095642089844,-53.08698272705078,1.0058697503997025,1.0893061539390334,1.134134478761326,1.226573865933857
4.0,-52.937095642089844,-53.3862361907959,-52.937095642089844,-53.08698272705078,1.0438453504224066,1.0906524895033958,1.0632024002788492,1.0737854475830129
4.5,-53.087507247924805,-53.3862361907959,-52.937095642089844,-53.08698272705078,1.0585203314376852,1.0694083869143376,1.0255734237139655,1.1164215961197235
5.0,-53.01243209838867,-53.23686981201172,-52.937095642089844,-52.937095642089844,1.0455116243779417,1.140370258483082,0.9344163306656408,1.0613667819806536
5.5,-53.01217079162598,-53.16153335571289,-52.937095642089844,-52.937095642089844,1.0650291499175217,1.1312917510598859,0.8183245645997652,0.8549521516704035
6.0,-52.71056365966797,-53.16153335571289,-52.861759185791016,-52.861759185791016,0.9866347587860366,1.1133556377181133,0.7888570899709973,0.8141987836504752
6.5,-52.558576583862305,-53.16153335571289,-52.78616142272949,-52.861759185791016,0.9595499902980276,1.0941937472893721,0.7560553472138829,0.7315590024552778
7.0,-52.48271369934082,-53.08698272705078,-52.634700775146484,-52.71056365966797,0.7550196937439748,0.8006001413339812,0.6258425957138226,0.6094680605493374
7.5,-52.558576583862305,-53.01217079162598,-52.48271369934082,-52.634700775146484,0.7799045803301806,0.9377492866649427,0.5184425910529671,0.5646869113720827
8.0,-52.63417434692383,-53.087507247924805,-52.48271369934082,-52.634700775146484,0.8037943614925397,0.962285913809034,0.5553787793244358,0.5954286425547585
8.5,-52.71029853820801,-52.861759185791016,-52.48271369934082,-52.558837890625,0.8672057408687182,0.9751452018708849,0.7005828405683526,0.5928065022034585
9.0,-52.71029853820801,-52.861759185791016,-52.558837890625,-52.558837890625,0.8190627648670455,0.9345173670329242,0.7336710082276298,0.6021302008512072
9.5,-52.86149787902832,-52.86149787902832,-52.3302001953125,-52.558837890625,0.8351027583015903,0.8267645857364638,0.6398243149723524,0.5944709872765576
10.0,-52.861759185791016,-52.78616142272949,-52.3302001953125,-52.634700775146484,0.7021588119056593,0.7985521804380851,0.4746234290404023,0.5724109230802907
10.5,-52.71056365966797,-52.861759185791016,-52.3302001953125,-52.634700775146484,0.679479316204037,0.8677800379601793,0.4415132684214417,0.4859212948289928
11.0,-52.71056365966797,-52.861759185791016,-52.40658950805664,-52.558837890625,0.6238555776180403,0.9183952426675973,0.4564777938278192,0.5475614521690135
11.5,-52.48271369934082,-52.861759185791016,-52.48271369934082,-52.48271369934082,0.6962308467348247,0.9567574205180058,0.4394778567672939,0.6269172918802729
12.0,-52.40632438659668,-52.634700775146484,-52.3302001953125,-52.40632438659668,0.7131301318478321,0.9476793817195318,0.4440949384186048,0.6350780618685347
12.5,-52.3302001953125,-52.558576583862305,-52.40632438659668,-52.25354766845703,0.7546189417323318,1.0392646658166032,0.565935467344919,0.6310608335271046
13.0,-52.25381088256836,-52.40632438659668,-52.25381088256836,-52.17715835571289,0.7444241634598162,1.1618941426828984,0.6356887144976056,0.665802048335192
13.5,-52.10050582885742,-52.25381088256836,-52.17715835571289,-52.3302001953125,0.7707541320827075,1.2110442831594157,0.7127488103275739,0.6773830281683488
14.0,-52.25354766845703,-52.40658950805664,-52.10050582885742,-52.3302001953125,0.8185917193900782,1.2540596918353883,0.7259336305755609,0.7637990564540835
14.5,-52.176631927490234,-52.48271369934082,-52.17715835571289,-52.25381088256836,0.8894048874648007,1.2439492151911102,0.6740793672985961,0.7723270919373236
15.0,-52.32967185974121,-52.71029853820801,-52.17715835571289,-52.100242614746094,0.9090108828580952,1.2471922247097258,0.6796675474514873,0.7590002245888234
15.5,-52.558837890625,-52.634700775146484,-52.176631927490234,-51.868961334228516,0.9218961332656227,1.1810036657280925,0.6605853757776021,0.66096791504985
16.0,-52.48271369934082,-52.634700775146484,-52.100242614746094,-51.946407318115234,0.86219679028421,1.1366069683019722,0.6300102469332882,0.6554564483682517
16.5,-52.48271369934082,-52.634700775146484,-52.023590087890625,-52.10050582885742,0.86219679028421,1.14537618454728,0.6518583638197478,0.6951638389932665
17.0,-52.40658950805664,-52.48271369934082,-52.023590087890625,-52.10050582885742,0.7913688475601247,1.1356353914273036,0.6296999460761611,0.6992849752900162
17.5,-52.17715835571289,-52.40632438659668,-52.023590087890625,-51.94667434692383,0.7757419227424196,1.1621260203634618,0.6192591579024347,0.667117443689625
18.0,-52.023590087890625,-52.558576583862305,-51.946407318115234,-51.71486282348633,0.7756075039040452,1.1563295867395855,0.7354598948304626,0.6157760037431853
18.5,-52.17715835571289,-52.558576583862305,-52.022003173828125,-51.71486282348633,0.7871833160857103,1.1733258008330494,0.7871333338053416,0.6244294463183663
19.0,-52.25354766845703,-52.634700775146484,-52.099449157714844,-51.79230880737305,0.8791189047145009,1.2247810340544087,0.8088836075331256,0.7014864591745746
19.5,-52.32967185974121,-52.558837890625,-52.252756118774414,-51.86949157714844,0.9341174433991007,1.2420281668209712,0.8501328447297613,0.7536894764814861
20.0,-52.405534744262695,-52.71056365966797,-52.252756118774414,-51.86949157714844,1.0080576933672005,1.2940863129073166,0.8749037117490441,0.7870128745001504
20.5,-52.405534744262695,-52.78616142272949,-52.252756118774414,-51.79204559326172,0.9480755089251227,1.3036259921120548,0.8514698799181881,0.7620385408799787
21.0,-52.3286190032959,-52.86149787902832,-52.099449157714844,-51.79204559326172,0.8959401661077399,1.2520460539502551,0.9389851437254233,0.8157128939976693
21.5,-52.32967185974121,-53.01243209838867,-52.0230598449707,-51.714332580566406,1.0190528747539818,1.38111110109783,0.9214060794673159,0.8301296011819324
22.0,-52.17715835571289,-53.23739433288574,-52.0230598449707,-51.71486282348633,1.041729531724616,1.3825632954306775,0.9214060794673159,0.8136919078853206
22.5,-52.25381088256836,-53.905487060546875,-51.868961334228516,-51.5597038269043,1.133195963825764,1.49655687923769,0.9154657228466099,0.8389027060402303
23.0,-52.3302001953125,-53.83171844482422,-51.868961334228516,-51.5597038269043,1.0602005804216557,1.5552565598235362,0.9324889873052102,0.8107685854268796
23.5,-52.17715835571289,-53.75794982910156,-51.86790084838867,-51.5597038269043,1.021390318752502,1.4158762643549578,0.9033893048851778,0.7833640226787337
24.0,-52.176631927490234,-53.68391990661621,-51.86790084838867,-51.63741683959961,1.0122434894259558,1.4050660757211386,0.8517877016835707,0.7148638571109419
24.5,-52.17715835571289,-53.60988998413086,-51.86790084838867,-51.5597038269043,1.0406156991408846,1.3682633613090323,0.7963014916472202,0.6670047876497339
25.0,-52.25381088256836,-53.68391990661621,-51.945613861083984,-51.5597038269043,1.1032663210126958,1.4898906436210377,0.9522142087472507,0.71063712318623
25.5,-52.10050582885742,-53.75794982910156,-51.635026931762695,-51.5597038269043,1.0126565811744481,1.6563824468595907,0.938084315599578,0.8691213839224778
26.0,-51.86949157714844,-53.83171844482422,-51.48092842102051,-51.79230880737305,0.9979542693492476,1.6791613210529404,0.904097045368368,0.8894585180973763
26.5,-51.79204559326172,-53.83171844482422,-51.40401268005371,-51.63741683959961,1.098455217254313,1.7857510930569567,0.937143713684472,0.9525573587601226
27.0,-51.71486282348633,-54.41617965698242,-51.32603454589844,-51.481990814208984,1.408356518991055,1.8597950134096097,1.0062082765821336,1.0046144090062774
27.5,-52.0230598449707,-54.56139373779297,-51.32603454589844,-51.481990814208984,1.4581878788784541,1.6938247609563644,1.1199472061218065,1.079956651105748
28.0,-52.78458595275879,-55.20778274536133,-51.5597038269043,-52.40658950805664,1.3045025271863075,1.5677829318986074,1.1425405297623343,1.1382648681545369
28.5,-53.386756896972656,-55.13351821899414,-52.0230598449707,-52.71056365966797,0.9925221320383157,1.393912690732338,1.0553203699256033,1.0759163939932048
29.0,-53.31194496154785,-54.85129928588867,-52.023590087890625,-52.78616142272949,1.0699271405730122,1.3226683369043932,1.0379048453788584,0.967234440089992
29.5,-53.01007270812988,-54.85129928588867,-52.25354766845703,-52.405534744262695,1.0903946548637715,1.331247683912261,1.1824020505379302,1.036137964209334
30.0,-53.08436393737793,-54.85129928588867,-52.55778503417969,-52.482187271118164,1.3346040164722663,1.2944572423964977,1.3866163932013782,1.3346589015507457
30.5,-53.30802536010742,-54.8518123626709,-52.86149787902832,-52.86149787902832,1.436625478706422,1.213494914364715,1.3695711491494673,1.4374235262674835
31.0,-53.16153335571289,-54.8518123626709,-52.937095642089844,-52.937095642089844,1.3353143646842045,1.2342151840853255,1.314528881143028,1.3387962446235284
