Longitude,Jan,Feb,Nov,Dec,Jan_std,Feb_std,Nov_std,Dec_std
0.0,-68.94743845746294,-69.48631123681722,-58.87770652770996,-66.01108360290527,0.7003921255163761,14.02682199562428,3.860681098187553,3.7527663073865543
0.5,-69.13753558107935,-69.48622540222863,-58.74508476257324,-66.11151885986328,0.6237023988315463,13.990355296749428,3.869885294832506,3.7122948463081373
1.0,-69.04889626559034,-69.48613956764004,-58.61246299743652,-66.21195411682129,0.5717166921646609,13.954091573805826,3.880699626598591,3.681441357613014
1.5,-68.95989922442627,-69.48605373305145,-58.479841232299805,-66.11151885986328,0.5514662372800088,13.918032413367591,3.8931106755481992,3.660449055608956
2.0,-69.10087322813095,-69.48596789846286,-58.479841232299805,-66.11151885986328,0.46842672133707286,13.887896327014289,3.921839171618484,3.596850755119791
2.5,-69.20709133174856,-69.48588206387427,-58.479841232299805,-66.11151885986328,0.4013385294836855,13.857769404663534,3.951369910530029,3.5653677653607967
3.0,-69.31165117330139,-69.48579622928568,-58.479841232299805,-66.10990333557129,0.3714816901284926,13.827644422824282,3.95159388117106,3.5720920257519437
3.5,-69.4162089881345,-69.48571039469711,-58.479841232299805,-65.90741729736328,0.3730756460248803,13.797521519729086,3.9554141579498006,3.5845662968746215
4.0,-69.43375004855986,-69.48562456010852,-58.479841232299805,-65.80373001098633,0.3646269416988113,13.761796727764434,3.842597511545195,3.563606691013285
4.5,-69.48584388331591,-69.4856149670243,-58.479841232299805,-65.70004272460938,0.39104107289771967,13.7262667920579,3.732925676431075,3.54440502617085
5.0,-69.48592785246099,-69.48545289093134,-58.479841232299805,-65.49264907836914,0.4098814323016642,13.70154480516473,3.6815438426760827,3.4451887527996976
5.5,-69.48580959323678,-69.48536705634277,-58.479841232299805,-65.2852554321289,0.4385769657468434,13.677044347355952,3.634215528399588,3.348835903739734
6.0,-69.48569133761339,-69.48528122175418,-58.479841232299805,-65.18156814575195,0.3752035989156917,13.646938544974605,3.5251663012975323,3.3482196356995293
6.5,-69.48557308199815,-69.48519538716559,-58.479841232299805,-65.077880859375,0.32782249972347277,13.61682828126205,3.4212942533928685,3.352097184331518
7.0,-69.45119096833906,-69.485109552577,-58.479841232299805,-64.86551475524902,0.32963096947348647,13.586720194556884,3.335546041487765,3.258845254081382
7.5,-69.44421675869759,-69.48502371798841,-58.479841232299805,-64.65314865112305,0.3395125466726825,13.556614299363943,3.2609498432803514,3.1742781130943567
8.0,-69.43724445227188,-69.48493788339982,-58.61246299743652,-64.64302062988281,0.31868268759186036,13.526510610388375,3.1741907701222014,3.1237766635478117
8.5,-69.48492157529594,-69.48485204881123,-58.74508476257324,-65.07120895385742,0.31265786972063647,13.496409142320397,3.0944704086755452,3.1134308072470427
9.0,-69.48499702860846,-69.48476621422265,-58.875752449035645,-65.17823219299316,0.3001198159718115,13.466309785462611,3.023926234844248,3.051735791882133
9.5,-69.48488639901161,-69.48468037963406,-59.00642013549805,-65.2852554321289,0.3028729572115627,13.436212679347008,2.9739616378883382,2.997464390590035
10.0,-69.40936096316382,-69.48459454504547,-59.2619686126709,-65.2852554321289,0.3170456869309208,13.4061178392705,2.8168813309411,2.9115462983937013
10.5,-69.40239057002411,-69.48450871045688,-59.51751708984375,-65.2852554321289,0.34462590089432543,13.376025280528227,2.665825579366937,2.8284675995499717
11.0,-69.39542398209703,-69.48442287586829,-59.51751708984375,-65.18156814575195,0.337828457517837,13.345935018620471,2.581827663638126,2.6968395204545494
11.5,-69.38845740208293,-69.48433704127972,-59.51751708984375,-65.077880859375,0.33117660103759283,13.315847069049173,2.513195346465395,2.5749000567098124
12.0,-69.29456849282701,-69.48425120669113,-59.64433288574219,-65.077880859375,0.3190447128128082,13.285761323090627,2.3802347341627477,2.4325363945958727
12.5,-69.20050415473708,-69.48416537210254,-59.771148681640625,-65.077880859375,0.3148327415551845,13.255677920955447,2.254636433847723,2.297831076469084
13.0,-69.30978473544404,-69.48392312776866,-60.019104957580566,-64.86551475524902,0.2700248611161759,13.225596754518076,2.1806366278478055,1.8968983620839261
13.5,-69.36042643605461,-69.4838487366315,-60.26706123352051,-64.86719512939453,0.2641742624328168,13.195517964094103,2.1218505423319334,1.619758998696288
14.0,-69.26673609794355,-69.48377434549434,-60.388240814208984,-64.86719512939453,0.252148407218037,13.165441566038087,2.0276770085775633,1.4479113220862398
14.5,-69.17271640154317,-69.48369995435719,-60.75925636291504,-64.86719512939453,0.250124729659239,13.135367576844688,1.9522329018758462,1.3122641894014582
15.0,-69.25256624712426,-69.48362556322004,-60.87859535217285,-64.86719512939453,0.27054362461996984,13.111178495323022,1.9613655490336814,1.2396548827618263
15.5,-69.33258605315696,-69.48355117208288,-60.997934341430664,-64.86719512939453,0.3186843160641365,13.08720913680815,1.9730561123908508,1.181675702594128
16.0,-69.23891060212168,-69.43786682302196,-61.120972633361816,-64.76017189025879,0.29695915302770304,13.062389549242182,1.9912546892156082,1.064034059529539
16.5,-69.1449271619421,-69.44194036679885,-61.24401092529297,-64.86719512939453,0.31627882887194664,13.037781462124842,2.036174588293729,0.9908937271067003
17.0,-69.22476780415127,-69.3836053383772,-61.365190505981445,-64.86719512939453,0.3080528037013374,13.01865320546766,2.0451779908918573,0.9619897387921836
17.5,-69.13551904458765,-69.38029822905649,-61.48637008666992,-64.86719512939453,0.3379844551300101,12.999899422991083,2.0600489548009593,0.9360774273896677
18.0,-69.1353912793579,-69.31916520640341,-61.36703109741211,-64.76017189025879,0.3261120113526784,12.974915496264405,1.948260847884662,0.957075818484452
18.5,-69.13533787196631,-69.22472267961476,-61.2476921081543,-64.65314865112305,0.33259955959265264,12.950138547701512,1.8464085459614206,0.9916940317439121
19.0,-69.30896212157906,-69.30426695126177,-61.2476921081543,-64.76017189025879,0.28164286817163947,12.89777986853001,1.847472916928924,1.039990187821376
19.5,-69.13537672003018,-69.36706979177367,-61.2476921081543,-64.86719512939453,0.28778781176501533,12.847377132680187,1.8585929403873296,1.1057183154729644
20.0,-69.09626602330103,-69.28937061414783,-61.2476921081543,-64.76017189025879,0.24925059707826597,12.823210342587926,1.773470639966561,1.065198422937081
20.5,-69.13507459848887,-69.19496583796649,-61.2476921081543,-64.86719512939453,0.2604197000000807,12.79929336524847,1.6913153459795205,1.0363731304464394
21.0,-69.08239008268404,-69.18746807723377,-61.2476921081543,-64.86551475524902,0.21622813742427602,12.769944856342965,1.6656332011417507,1.085047371949747
21.5,-69.07545402117944,-69.18003401575498,-61.2476921081543,-65.077880859375,0.19648328278450503,12.740595978276325,1.6521891122398207,1.1484506886896355
22.0,-69.13316125093446,-69.25941276569625,-61.2476921081543,-65.28691101074219,0.16291864515231602,12.706084516185044,1.5977839760276222,1.1675499742895055
22.5,-69.48212333907036,-69.33884983976418,-61.2476921081543,-65.49594116210938,0.2434188001185547,12.671797870915878,1.5560922731942024,1.1998386902580749
23.0,-69.48248680203923,-69.4598435404918,-61.12651252746582,-65.59962844848633,0.24654222746617818,12.635065839962431,1.5175071137650573,1.2215357070740815
23.5,-69.4824219502066,-69.43710775262929,-61.2476921081543,-65.70331573486328,0.2997604439168509,12.59926382455889,1.5022649580577803,1.2575604135395213
24.0,-69.56738080595645,-69.41437196476676,-61.36703109741211,-65.80536651611328,0.2841818653255264,12.57387521293467,1.5296871339442486,1.2926930663495422
24.5,-69.48240110070873,-69.39163617690424,-61.48637008666992,-65.90741729736328,0.3087395536760348,12.54851259840936,1.5998060483504233,1.3571577980746456
25.0,-69.56726531359713,-69.36890038904173,-61.60388946533203,-66.10990333557129,0.30276015915998866,12.523155950373832,1.6050747807449837,1.3858320527063717
25.5,-69.57462725975452,-69.3461646011792,-61.48637008666992,-66.11151885986328,0.3103346584915765,12.497805305144109,1.6247455474718753,1.4285435227101007
26.0,-69.44881872408212,-69.3234288133167,-61.60388946533203,-66.21195411682129,0.28689077142648733,12.472460699322836,1.5854230975115022,1.3950131523075793
26.5,-69.3085081841316,-69.30069302545417,-61.72140884399414,-66.3123893737793,0.27857109885687886,12.447122169802011,1.5514879424571406,1.376467267377385
27.0,-69.30834965990114,-69.27795723759165,-61.72140884399414,-66.2103385925293,0.26996946229003077,12.421789753765783,1.5916583485926181,1.2928127974944292
27.5,-69.24490086523534,-69.25522144972913,-61.72140884399414,-66.1082878112793,0.2944117409874569,12.396463488693213,1.6359287032206513,1.2168635633218396
28.0,-69.27711815434489,-69.2324856618666,-61.95646667480469,-66.10990333557129,0.26063362079175795,12.371143412361157,1.6216694154238747,1.1425784690079643
28.5,-69.19912949112141,-69.2097498740041,-62.191524505615234,-66.11151885986328,0.2580812787656091,12.345829562847108,1.6161492803517954,1.0888464268816271
29.0,-69.12110862659162,-69.18701408614157,-62.191524505615234,-66.11151885986328,0.20710899352765808,12.32052197853208,1.6124453026512906,1.057153655270701
29.5,-69.03198387090816,-69.16427829827906,-62.191524505615234,-66.11151885986328,0.15708721329803452,12.295220698103549,1.6159972056966898,1.034831954348852
30.0,-68.95791764213823,-69.14154251041654,-62.191524505615234,-66.10990333557129,0.14234167602067638,12.269925760558438,1.6255859653708824,1.0098612037288628
30.5,-68.86578118107208,-69.11880672255401,-62.191524505615234,-66.3123893737793,0.14941860075918675,12.244637205206077,1.6527925973934703,1.0030957066145847
31.0,-68.78488120726111,-69.0960709346915,-62.53870105743408,-66.51166534423828,0.12548152692354456,12.219355071671249,1.7267767468369635,0.9662476021419997
31.5,-68.70806964324777,-69.07333514682898,-62.88587760925293,-66.71094131469727,0.12114729969789169,12.19407939989725,1.8105990553611566,0.962102883525294
32.0,-68.57593264883859,-69.05059935896645,-63.11199474334717,-66.51166534423828,0.16160202365296594,12.168810230148988,1.8051603449049076,0.9561037592941508
32.5,-68.41925048828125,-69.02863431823454,-63.11375427246094,-66.3123893737793,0.20928329030901366,12.143547603016126,1.8188052083448658,0.9707673510067595
33.0,-68.41924667358398,-69.01311774664745,-63.11375427246094,-66.2103385925293,0.22846103318261432,12.12366258861398,1.8439615047674698,1.0720951841927298
33.5,-68.41924285888672,-68.99760117506038,-63.11375427246094,-66.1082878112793,0.2665339049497023,12.103990535878731,1.8846489868778609,1.1984234824665985
34.0,-68.2353744506836,-68.9820846034733,-62.999815940856934,-66.1082878112793,0.3023157583603393,12.084662482471202,1.8340020263339114,1.2600643495957309
34.5,-68.05150604248047,-68.96656803188623,-62.88587760925293,-66.1082878112793,0.3568235378057207,12.065557788605908,1.7937042163512742,1.3556037337752116
35.0,-68.32561874389648,-68.95105146029914,-62.771939277648926,-66.2103385925293,0.2913728979527863,12.030594519703996,1.6867999700457053,1.368630223604127
35.5,-68.41923522949219,-68.93553488871206,-62.65800094604492,-66.3123893737793,0.25965751204145493,11.995920892710622,1.589776743850072,1.4027010751248508
36.0,-68.41923522949219,-68.92001831712497,-62.771939277648926,-66.3123893737793,0.19731964169644667,11.972983346857264,1.570385207900394,1.4328380989140723
36.5,-68.41923522949219,-68.90450174553789,-62.65800094604492,-66.3123893737793,0.1719005680096337,11.950817830625361,1.5725084486851781,1.4698583311645743
37.0,-68.5997314453125,-68.86135179731582,-62.65800094604492,-66.2103385925293,0.13559675241671834,11.909242741537787,1.5545459733648974,1.489605654605363
37.5,-68.78022766113281,-68.78022766113281,-62.65800094604492,-66.1082878112793,0.14736538883488204,11.868668677734995,1.5439236398186025,1.5213150201339385
38.0,-68.95732053179142,-68.96873770611654,-62.750699043273926,-66.00785255432129,0.1976826199055061,11.818762419405845,1.4647277097423437,1.5237966767456308
38.5,-69.13440197136478,-69.0719148062526,-62.88587760925293,-65.90741729736328,0.265343521225143,11.770079871411783,1.5340765303423067,1.5314686808423168
39.0,-69.21953308142935,-69.0568886382892,-62.999815940856934,-65.90741729736328,0.3187870391587682,11.742466713351545,1.5457378035133067,1.5295073420563634
39.5,-69.48164445833939,-69.04186247032578,-63.11375427246094,-65.90741729736328,0.3950434405900682,11.714856874882928,1.5641776569215227,1.5362371560278134
40.0,-69.45920554481955,-69.02683630236237,-63.22593307495117,-65.80373001098633,0.39015266668153525,11.687773040190732,1.54501676861238,1.54666826957797
40.5,-69.43676663129972,-69.01181013439896,-63.338111877441406,-65.90741729736328,0.3853313802766814,11.660691537572891,1.537576439627782,1.574330811363225
41.0,-69.41432771777988,-68.99678396643554,-63.338111877441406,-65.80536651611328,0.3805822222265444,11.633612383315684,1.5021509799010075,1.5358838184284518
