Longitude,Jan,Feb,Nov,Dec,Jan_std,Feb_std,Nov_std,Dec_std
0.0,-67.48674964904785,,-57.022836685180664,-58.61441707611084,1.4731996493454602,,1.1668251722453924,3.178036316556193
0.5,-67.48674774169922,,-57.15742874145508,-58.74508476257324,1.4365664214214016,,1.1650112436247686,3.07268043101291
1.0,-67.58198165893555,,-57.15742874145508,-58.875752449035645,1.405687112924769,,1.1732663292889793,2.9750476190943496
1.5,-67.67721557617188,,-57.15742874145508,-59.00642013549805,1.380947767185074,,1.19138114287528,2.8859218186911932
2.0,-67.7708673507149,,-57.29202079772949,-59.13515281677246,1.3883342159859184,,1.1986647392440146,2.8849922351148636
2.5,-67.8645191252579,,-57.15742874145508,-59.263885498046875,1.403215163166114,,1.2273603602293555,2.893242716255897
3.0,-68.05021783903246,,-57.15742874145508,-59.500436782836914,1.4170124665610633,,1.2720200429390183,2.961576872077356
3.5,-68.2359164550825,,-57.15742874145508,-60.255788803100586,1.441266710040336,,1.330798754530048,3.101437050025211
4.0,-68.23269488794409,,-57.15742874145508,-60.50752258300781,1.4478149187382292,,1.3884098882833877,3.177344016611353
4.5,-68.22946159054116,,-57.15742874145508,-60.75925636291504,1.5007398436101813,,1.4511624804465288,3.2633407033029562
5.0,-68.3052860243044,,-57.29202079772949,-60.761115074157715,1.5227937951061747,,1.5004087274014484,3.2418751248229793
5.5,-68.2939280104149,,-57.426612854003906,-60.76297378540039,1.5567667007794592,,1.5588951685856056,3.232167789134703
6.0,-68.28256808917678,,-57.426612854003906,-60.88415336608887,1.5500913791179407,,1.5974052932112717,3.2089348605222585
6.5,-68.27120816793867,,-57.426612854003906,-61.005332946777344,1.5433908894882475,,1.6415861811111323,3.1916675635749048
7.0,-68.25985015404918,,-57.426612854003906,-61.124671936035156,1.5242733531700532,,1.6574023726639384,3.1136194271004944
7.5,-68.2484921401597,,-57.426612854003906,-61.24401092529297,1.5074396705520903,,1.679702015351119,3.0417469246116404
8.0,-68.14190211638251,,-57.69382667541504,-61.36153030395508,1.4985899059587635,,1.7203081871837316,2.976749072954572
8.5,-68.22577229768345,,-57.96104049682617,-61.47904968261719,1.4946387594955648,,1.769282847280976,2.918717035165513
9.0,-68.21441428379396,,-57.96104049682617,-61.59476852416992,1.5135618268035465,,1.6955970114815424,2.8853434714477437
9.5,-68.20305626990447,,-57.96104049682617,-61.710487365722656,1.535950776265036,,1.628424508238577,2.858924072022824
10.0,-68.28532523578244,,-57.96104049682617,-61.587449073791504,1.4671618380180846,,1.5786617101286484,2.7768576853865135
10.5,-68.36759420166041,,-57.96104049682617,-61.46441078186035,1.4190255185101368,,1.5444643542061567,2.715423084976111
11.0,-68.35623808784383,,-58.22432994842529,-61.47173023223877,1.4359306294364347,,1.5907741540802864,2.7116337145061498
11.5,-68.34487625925708,,-58.22628402709961,-61.47904968261719,1.4550202538416463,,1.6537194743541372,2.7137474032932087
12.0,-68.33351443067033,,-58.35695171356201,-61.482709884643555,1.4798360385107467,,1.8031358434106575,2.5850309963250706
12.5,-68.32215260208358,,-58.487619400024414,-61.48637008666992,1.5089195788149534,,2.0005949871832684,2.469678627067407
13.0,-68.31079077349682,,-58.487619400024414,-61.36703109741211,1.5359641913864162,,1.953369395399873,2.479698936480955
13.5,-68.48337563257284,,-58.487619400024414,-61.2476921081543,1.5878183578155802,,1.911144924458982,2.496102358832807
14.0,-68.56238303999754,,-58.487619400024414,-61.12651252746582,1.5889766040162194,,1.8976385963268838,2.487309483934292
14.5,-68.64135556742382,,-58.487619400024414,-61.005332946777344,1.5922325751323123,,1.8943364747106752,2.4853065857363728
15.0,-68.63001898810171,,-58.487619400024414,-61.12651252746582,1.6431088181670817,,1.8943364747106752,2.421284200683756
15.5,-68.61864380807454,,-58.487619400024414,-61.2476921081543,1.696948406186334,,1.8943364747106752,2.361219203253722
16.0,-68.60727053458108,,-58.618287086486816,-61.36703109741211,1.6924023611494088,,1.8872166261419134,2.3165015444127444
16.5,-68.59589726190254,,-58.74895477294922,-61.48637008666992,1.687922719003719,,1.8857879898074263,2.277524683066786
17.0,-68.61420037161217,,-58.74895477294922,-61.723228454589844,1.7057273098664718,,1.7929382160928544,2.239031917735936
17.5,-68.58880645744763,,-58.74895477294922,-61.960086822509766,1.7290482845785742,,1.7141804803008276,2.2056075030823115
18.0,-68.56341254328308,,-58.87768745422363,-62.42476272583008,1.6895489760882367,,1.6781812839549728,2.170915807611561
18.5,-68.53801862911854,,-59.00642013549805,-62.65800094604492,1.6541671475760478,,1.6527886163595151,2.18964048600933
19.0,-68.51262471495399,,-59.00642013549805,-62.88411808013916,1.680787513407647,,1.6069324082085144,2.166195933266368
19.5,-68.48723080078943,,-59.00642013549805,-62.88587760925293,1.7150338049209102,,1.5683499135055579,2.158109713908029
20.0,-68.4618368866249,,-59.13515281677246,-62.770158767700195,1.6392848103782942,,1.5694694491737315,2.1036069465146623
20.5,-68.43644297246036,,-59.263885498046875,-62.65443992614746,1.5670758598906986,,1.5772274186386805,2.0576223713970156
21.0,-68.41104905829582,,-59.39070129394531,-62.65443992614746,1.5248826040121364,,1.5529456947582243,2.0746485739877305
21.5,-68.38565514413125,,-59.263885498046875,-62.65443992614746,1.4863432489870598,,1.5436702758261998,2.096639746445625
22.0,-68.39749048482143,,-59.13515281677246,-62.65622043609619,1.404358775985158,,1.515184811545483,2.0747924943796767
22.5,-68.47540606455857,,-59.263885498046875,-62.65800094604492,1.3378935559704748,,1.5055898914167043,2.0640233628272435
23.0,-68.46137566748202,,-59.263885498046875,-62.88587760925293,1.311498164546859,,1.520195504684151,1.9870593493996398
23.5,-68.44733404516106,,-59.263885498046875,-63.11375427246094,1.2947870368949945,,1.5382091818443286,1.9192866168163656
24.0,-68.5235545191764,,-59.263885498046875,-63.11375427246094,1.2294125548867378,,1.539034879443913,1.8936546209503033
24.5,-68.65111738765536,,-59.263885498046875,-63.11375427246094,1.192992061111662,,1.549727064445436,1.883582512952463
25.0,-68.71406260912585,,-59.51751708984375,-63.22593307495117,1.1628550746470334,,1.4642375655793243,1.790536007717043
25.5,-68.61368633558993,,-59.771148681640625,-63.338111877441406,1.1492259007213987,,1.396047148891765,1.7263431111257526
26.0,-68.6917830531828,,-59.771148681640625,-63.672908782958984,1.1277072326205517,,1.414702017705123,1.8043469636559366
