Longitude,Jan,Feb,Nov,Dec,Jan_std,Feb_std,Nov_std,Dec_std
0.0,-53.271610260009766,-55.32907485961914,-52.35979461669922,-52.35979461669922,1.8154551558512604,1.6850153595079134,1.1672757926432,1.3747240612306504
0.5,-53.271610260009766,-55.32907485961914,-52.20713138580322,-52.35979461669922,1.8402392291257061,1.708991917657556,1.1621610202982857,1.3244025498629406
1.0,-53.271610260009766,-55.32907485961914,-52.05018424987793,-52.35979461669922,1.8685945114821718,1.741998719405665,1.164662624373601,1.2783132994638282
1.5,-53.271610260009766,-55.32907485961914,-52.05018424987793,-52.35979461669922,1.9003611516475745,1.783534483309465,1.1747319484150263,1.236929495579442
2.0,-53.271610260009766,-55.32907485961914,-52.05018424987793,-52.35979461669922,1.9353711776977485,1.8330195085835288,1.1921772532401527,1.200737760890529
2.5,-53.271610260009766,-55.32907485961914,-52.05018424987793,-52.35979461669922,1.9353711776977485,1.932222635902639,1.1601075305712483,1.1293095603368235
3.0,-53.271610260009766,-55.32907485961914,-52.05018424987793,-52.35979461669922,1.9353711776977485,2.0375258218869496,1.1513204956888403,1.0706255367592015
3.5,-53.12105369567871,-55.32907485961914,-51.895379066467285,-52.35979461669922,1.9248785985068009,2.075811025861376,1.113892250893825,1.070727135607887
4.0,-52.970497131347656,-55.32907485961914,-51.74057388305664,-52.35979461669922,1.9217869221986408,2.127264749906444,1.0891414266956023,1.0788552739626343
4.5,-52.970497131347656,-54.89415740966797,-51.74057388305664,-52.204989433288574,1.9082621402309228,2.229446460621642,1.1225318389501588,1.0400258694291213
5.0,-52.970497131347656,-54.4592399597168,-51.74057388305664,-52.05018424987793,1.9021815447422203,2.350330981958034,1.1687616154317957,1.0145071667302692
5.5,-52.81782150268555,-54.4592399597168,-51.74057388305664,-51.895379066467285,1.8679504287267332,2.348257300496286,1.1514496660737528,1.0216461787084623
6.0,-52.66514587402344,-54.4592399597168,-51.74057388305664,-51.74057388305664,1.8406667441601323,2.3492830830570988,1.1475066148985065,1.043743031369305
6.5,-52.51247024536133,-54.4592399597168,-51.58362674713135,-51.74057388305664,1.8078163920847443,2.3945105133467353,1.2312769318365784,1.0944378695890988
7.0,-52.35979461669922,-54.4592399597168,-51.426679611206055,-51.74057388305664,1.795578749631561,2.4447579684982523,1.329023327010421,1.1610491445667577
7.5,-52.35979461669922,-54.603519439697266,-51.26973247528076,-51.426679611206055,1.8258214332032694,2.3949911026794384,1.281533069412949,1.1368834632902092
8.0,-52.35979461669922,-54.747798919677734,-51.11278533935547,-51.11278533935547,1.860475657993341,2.3505127638747108,1.2487508686042905,1.1330752557254562
8.5,-52.35979461669922,-54.603519439697266,-51.11278533935547,-51.11278533935547,1.8540888749056752,2.3583501572401198,1.2412872235536483,1.1861030919963602
9.0,-52.35979461669922,-54.4592399597168,-51.11278533935547,-51.11278533935547,1.8614556218148373,2.3786376680248793,1.2573557727182911,1.2541198418491697
9.5,-52.05018424987793,-54.603519439697266,-51.11278533935547,-51.11278533935547,1.7218293758882872,2.337043851179397,1.2990978146149137,1.3222538657152838
10.0,-51.74057388305664,-54.747798919677734,-51.11278533935547,-51.11278533935547,1.648080977562637,2.307251162031485,1.355751988853656,1.4027468732534878
10.5,-51.74057388305664,-54.89415740966797,-50.95368671417236,-51.11278533935547,1.648080977562637,2.2749828928744193,1.3482631632038757,1.4377860856207838
11.0,-51.74057388305664,-55.0405158996582,-51.11278533935547,-51.11278533935547,1.648080977562637,2.250128974606242,1.355751988853656,1.485506980361704
11.5,-51.895379066467285,-55.18479537963867,-51.11278533935547,-51.11278533935547,1.7001328549811365,2.169875831473214,1.4295128751937018,1.458246612110249
12.0,-52.05018424987793,-55.32907485961914,-51.11278533935547,-51.11278533935547,1.765969192181785,2.0966991158432577,1.5065696624220433,1.4414486257066126
12.5,-52.204989433288574,-55.47128963470459,-50.95368671417236,-50.95368671417236,1.7592402028523304,1.960413465106674,1.4996942253611631,1.407750204195051
13.0,-52.35979461669922,-55.61350440979004,-50.79458808898926,-50.79458808898926,1.7574013597332876,1.8380248572326712,1.4988790143497503,1.3846609332481818
13.5,-52.35979461669922,-55.753671646118164,-50.79458808898926,-50.79458808898926,1.749543969044334,1.7696987671459126,1.4694395115802092,1.321142664483276
14.0,-52.35979461669922,-55.89383888244629,-50.79458808898926,-50.79458808898926,1.746597608011122,1.7090050936068444,1.450465564666514,1.2830666147445704
14.5,-52.51247024536133,-55.753671646118164,-50.79458808898926,-50.79458808898926,1.7412510807578203,1.5534652470497659,1.467725235910037,1.2830666147445704
15.0,-52.35979461669922,-55.61350440979004,-50.79458808898926,-50.79458808898926,1.746597608011122,1.4052455610497054,1.491246031402216,1.2830666147445704
15.5,-52.51247024536133,-55.75571918487549,-50.95368671417236,-50.79458808898926,1.7916503426881694,1.287091532171205,1.4343627445185245,1.2488559474340393
16.0,-52.66514587402344,-55.89793395996094,-51.11278533935547,-50.79458808898926,1.8541277131064977,1.1885067558437505,1.3962508570285255,1.2267869067470165
16.5,-52.51034069061279,-55.75571918487549,-51.11278533935547,-50.79458808898926,1.8075524764873439,1.1775316944163818,1.4465184282024257,1.2267869067470165
17.0,-52.35553550720215,-55.61350440979004,-51.11278533935547,-50.79458808898926,1.776148439526683,1.1825382502410422,1.5066389132161107,1.2267869067470165
17.5,-52.35553550720215,-55.75571918487549,-51.11278533935547,-50.79458808898926,1.7656987560117305,1.086586650349972,1.4847833279607803,1.2267869067470165
18.0,-52.35553550720215,-55.89793395996094,-51.11278533935547,-50.79458808898926,1.7637902309250453,1.0133145058115407,1.4691605056512436,1.2267869067470165
18.5,-52.35553550720215,-55.75571918487549,-51.11278533935547,-50.95368671417236,1.6092936114581486,1.0318694162856434,1.4147764564606067,1.2653113147476738
19.0,-52.35553550720215,-55.61350440979004,-51.11278533935547,-51.11278533935547,1.461086299088512,1.0625298436586295,1.370773785679687,1.3147464005213527
19.5,-52.35553550720215,-55.47128963470459,-51.11278533935547,-51.11278533935547,1.4287281264472615,1.033177966154526,1.3251517864308997,1.3147464005213527
20.0,-52.35553550720215,-55.32907485961914,-51.11278533935547,-51.11278533935547,1.4012929219704613,1.0381276835494908,1.2856048709346455,1.3147464005213527
20.5,-52.20285987854004,-55.0405158996582,-51.11278533935547,-51.426679611206055,1.3512269960260814,1.0872719458350624,1.2856048709346455,1.3249466468895748
21.0,-52.05018424987793,-54.751956939697266,-51.11278533935547,-51.74057388305664,1.3141162095195755,1.1498998864146621,1.2856048709346455,1.3538023074704688
21.5,-52.204989433288574,-54.751956939697266,-51.11278533935547,-51.74057388305664,1.1731341677582698,1.1265431607892642,1.1988531589877276,1.27967517562543
22.0,-52.35979461669922,-54.751956939697266,-51.11278533935547,-51.74057388305664,1.0566098075721306,1.1181617141099933,1.1208843869149734,1.2093908008325966
22.5,-52.35979461669922,-54.751956939697266,-51.11278533935547,-51.58362674713135,0.9916370554640274,1.210764965924333,1.054524996245021,1.1478736900976776
23.0,-52.35979461669922,-54.751956939697266,-51.11278533935547,-51.426679611206055,0.9304229122004236,1.3221056726194027,1.00435737565312,1.101667608285668
23.5,-52.204989433288574,-54.751956939697266,-51.11278533935547,-51.26973247528076,0.9326839986221764,1.3530051015506377,0.9340566149605428,1.0116786441134185
24.0,-52.05018424987793,-54.751956939697266,-51.11278533935547,-51.11278533935547,0.9441221484998458,1.3962928470428189,0.8694457564389916,0.9353907853620067
24.5,-52.05018424987793,-54.60559844970703,-51.11278533935547,-51.11278533935547,0.9647513456170287,1.3985332551334135,0.8694457564389916,0.9142648059168995
25.0,-52.05018424987793,-54.4592399597168,-51.11278533935547,-51.11278533935547,0.9939109703358144,1.4062644837268636,0.8694457564389916,0.9025185204961115
25.5,-52.05018424987793,-54.31288146972656,-51.11278533935547,-51.11278533935547,1.0115811188331654,1.4728190465284698,0.8396321084515797,0.8565319523978335
26.0,-52.05018424987793,-54.16652297973633,-51.11278533935547,-51.11278533935547,1.0375302566709785,1.5465772454904183,0.8196118362969325,0.8185406742381087
26.5,-51.73843193054199,-54.31288146972656,-51.11278533935547,-51.11278533935547,1.0676465130768138,1.5691051442406099,0.785409785904836,0.8185406742381087
27.0,-51.426679611206055,-54.16652297973633,-51.11278533935547,-51.11278533935547,1.1189366920969248,1.61010930264894,0.7613861253623162,0.8185406742381087
27.5,-51.426679611206055,-54.16652297973633,-51.11278533935547,-51.11278533935547,1.0900671011316232,1.7456714488884288,0.7752747822030985,0.8185406742381087
28.0,-51.426679611206055,-54.16652297973633,-51.11278533935547,-51.11278533935547,1.0682959979711142,1.8929919016340961,0.8006975146819749,0.8185406742381087
28.5,-51.426679611206055,-54.16652297973633,-51.11278533935547,-51.11278533935547,1.1096559299366564,1.8963939209001701,0.8006975146819749,0.8091239643803271
29.0,-51.426679611206055,-54.16652297973633,-51.11278533935547,-51.11278533935547,1.1576439834759567,1.9067996380909702,0.8006975146819749,0.8196118362969325
29.5,-51.426679611206055,-54.31288146972656,-51.11278533935547,-51.11278533935547,1.1941770337871038,1.8987529775795342,0.8371520741304411,0.8391083553178073
30.0,-51.426679611206055,-54.4592399597168,-51.11278533935547,-51.11278533935547,1.2372151589933982,1.894746384447491,0.8830407831044772,0.8830407831044772
