Longitude,Jan,Feb,Nov,Dec,Jan_std,Feb_std,Nov_std,Dec_std
0.0,-71.32431856821222,-71.28134812922723,-71.32431856821222,-71.32431856821222,0.0,4.1129464874140105,0.0,0.0
0.5,-70.88915459712577,-71.0670485746427,-70.88915459712577,-70.88915459712577,0.0,3.929128006195249,0.0,0.0
1.0,-70.88568280292334,-71.04710988900769,-70.88568280292334,-70.88568280292334,0.012039295215834044,3.792561778721683,1.4210854715202004e-14,1.4210854715202004e-14
1.5,-70.80194306915804,-71.02686007869481,-70.80194306915804,-70.80194306915804,0.09237850144437942,3.6533670326761407,0.0,0.0
2.0,-70.49390763927165,-70.99821979874262,-70.49390763927165,-70.49390763927165,1.4210854715202004e-14,3.506874904736918,1.4210854715202004e-14,1.4210854715202004e-14
2.5,-70.49379464617786,-70.96957951879045,-70.49379464617786,-70.49379464617786,1.4210854715202004e-14,3.3692743678166805,1.4210854715202004e-14,1.4210854715202004e-14
3.0,-70.49367578521314,-70.94093923883827,-70.49367578521314,-70.49367578521314,1.4210854715202004e-14,3.231760046996873,1.4210854715202004e-14,1.4210854715202004e-14
3.5,-70.49355109156973,-70.91229895888608,-70.49355109156973,-70.49355109156973,0.025767642272600717,3.0943434497589077,1.4210854715202004e-14,1.4210854715202004e-14
4.0,-70.49342060216445,-70.8836586789339,-70.49342060216445,-70.49342060216445,0.06927537774182897,2.957038213618862,1.4210854715202004e-14,1.4210854715202004e-14
4.5,-70.49328435561469,-70.85501839898171,-70.49328435561469,-70.49328435561469,0.11278138606771365,2.8198606200139174,1.4210854715202004e-14,1.4210854715202004e-14
5.0,-70.49314239214574,-70.82637811902953,-70.49314239214574,-70.49314239214574,0.11746950066293634,2.682830263529997,0.0,0.0
5.5,-70.49299428147982,-70.79773783907734,-70.49299428147982,-70.49299428147982,0.11746940358442683,2.5459709200999217,0.0,0.0
6.0,-70.4928405069175,-70.76909755912516,-70.4928405069175,-70.4928405069175,0.11746930279354192,2.4093117633321603,1.4210854715202004e-14,1.4210854715202004e-14
6.5,-70.49268115407702,-70.74045727917299,-70.49268115407702,-70.49268115407702,0.11746919834639442,2.272888921112242,1.4210854715202004e-14,1.4210854715202004e-14
7.0,-70.32186447395321,-70.71181699922082,-70.32186447395321,-70.32186447395321,0.06627355140346365,2.1319823795698665,1.4210854715202004e-14,1.4210854715202004e-14
7.5,-70.10078264206669,-70.68317671926863,-70.10078264206669,-70.10078264206669,1.4210854715202004e-14,1.991621563423217,1.4210854715202004e-14,1.4210854715202004e-14
8.0,-70.10060722829824,-70.65453643931644,-70.10060722829824,-70.10060722829824,0.011040188456200896,1.8560005278540683,0.0,0.0
8.5,-70.10042644655023,-70.62589615936426,-70.10042644655023,-70.10042644655023,0.029682626685553267,1.7208561175249266,1.4210854715202004e-14,1.4210854715202004e-14
9.0,-70.10024035029832,-70.59725587941207,-70.10024035029832,-70.10024035029832,0.04832665926607404,1.5863101765781629,1.4210854715202004e-14,1.4210854715202004e-14
9.5,-70.10004899457383,-70.56861559945989,-70.10004899457383,-70.10004899457383,0.06697226968837097,1.4525290450737882,1.4210854715202004e-14,1.4210854715202004e-14
10.0,-70.09985200455296,-70.5399753195077,-70.09985200455296,-70.09985200455296,0.08561957039957947,1.319745347114699,1.4210854715202004e-14,1.4210854715202004e-14
10.5,-70.18328690196664,-70.51133503955553,-70.18328690196664,-70.18328690196664,0.0791773048804231,1.189765681469981,0.0,0.0
11.0,-70.49100293425684,-70.47292220187914,-70.49100293425684,-70.49100293425684,0.11442933163081503,1.0636210531477504,1.4210854715202004e-14,1.4210854715202004e-14
11.5,-70.49079021938726,-70.41084167628976,-70.49079021938726,-70.49079021938726,0.3524040406793263,0.9227480885151431,1.4210854715202004e-14,1.4210854715202004e-14
12.0,-70.27641602496887,-70.30037980211335,-70.27641602496887,-70.27641602496887,0.22390964092089546,0.7915683575842113,0.0,0.0
12.5,-70.09879106834016,-70.17520092200809,-70.09879106834016,-70.09879106834016,0.040168847274600246,0.6610547649933547,1.4210854715202004e-14,1.4210854715202004e-14
13.0,-70.09856416053076,-70.13872106631248,-70.09856416053076,-70.09856416053076,1.4210854715202004e-14,0.5495324069378298,1.4210854715202004e-14,1.4210854715202004e-14
13.5,-70.09833249919406,-70.1022388338532,-70.09833249919406,-70.09833249919406,0.0,0.4600374268861241,0.0,0.0
14.0,-70.09809615286215,-70.09640797486347,-70.09809615286215,-70.09809615286215,1.4210854715202004e-14,0.40133616225732305,1.4210854715202004e-14,1.4210854715202004e-14
14.5,-70.09785481043319,-70.09785481043319,-70.09785481043319,-70.09785481043319,0.0,0.385312185839859,0.0,0.0
15.0,-70.09760890371854,-70.03929100780836,-70.09760890371854,-70.09760890371854,0.03345444986524058,0.38081525458778553,0.0,0.0
15.5,-69.97021634423592,-69.89762938863491,-69.97021634423592,-69.97021634423592,0.10576549262848403,0.30153099406429623,1.4210854715202004e-14,1.4210854715202004e-14
16.0,-69.70554842290665,-69.70554842290665,-69.70554842290665,-69.70554842290665,0.0,0.21054393506599445,0.0,0.0
16.5,-69.91944391850377,-69.91944391850377,-69.91944391850377,-69.91944391850377,1.4210854715202004e-14,0.1613433979993612,1.4210854715202004e-14,1.4210854715202004e-14
17.0,-70.09658143585396,-70.0965761818211,-70.09658143585396,-70.09658143585396,0.0,0.18294658211970943,0.0,0.0
17.5,-70.09631398906997,-70.0963011624385,-70.09631398906997,-70.09631398906997,0.09034958912536553,0.17844516573772548,1.4210854715202004e-14,1.4210854715202004e-14
18.0,-70.09604246680783,-70.09604246680783,-70.09604246680783,-70.09604246680783,0.11746590877624215,0.18480636787885812,0.0,0.0
18.5,-70.09576694938166,-70.09576694938166,-70.09576694938166,-70.09576694938166,0.11746572688348636,0.1898062630617523,0.0,0.0
19.0,-70.05535779474566,-70.05535779474566,-70.05535779474566,-70.05535779474566,0.1610419771704345,0.19052222229723034,0.0,0.0
