Longitude,Jan,Feb,Nov,Dec,Jan_std,Feb_std,Nov_std,Dec_std
0.0,-71.32431856821222,-71.32431856821222,-71.32431856821222,-71.32431856821222,0.9836929148195188,1.1314931372698316,0.0,0.0
0.5,-70.88915459712577,-70.88915459712577,-70.88915459712577,-70.88915459712577,0.8986238517361032,1.0632583727947815,4.263256414560601e-14,4.263256414560601e-14
1.0,-70.88568280292334,-70.88568280292334,-70.88568280292334,-70.88568280292334,0.8546182187566531,1.0187503335881616,1.5631940186722204e-13,1.5631940186722204e-13
1.5,-70.80194306915804,-70.80194306915804,-70.80194306915804,-70.80194306915804,0.8033687728123851,0.9765205361657445,1.1368683772161603e-13,1.1368683772161603e-13
2.0,-70.49390763927165,-70.49390763927165,-70.49390763927165,-70.49390763927165,0.7333646301077722,0.9354273295017198,1.2789769243681803e-13,1.2789769243681803e-13
2.5,-70.49379464617786,-70.49379464617786,-70.49379464617786,-70.49379464617786,0.689321898878746,0.8932737934205907,7.105427357601002e-14,7.105427357601002e-14
3.0,-70.49367578521314,-70.49367578521314,-70.49367578521314,-70.49367578521314,0.6456190629114504,0.8516988950892157,7.105427357601002e-14,7.105427357601002e-14
3.5,-70.49355109156973,-70.49355109156973,-70.49355109156973,-70.49355109156973,0.6023301663540086,0.8118188076662376,1.4210854715202004e-13,1.4210854715202004e-13
4.0,-70.49342060216445,-70.49342060216445,-70.49342060216445,-70.49342060216445,0.5588530907571353,0.7729086972101222,2.842170943040401e-14,2.842170943040401e-14
4.5,-70.49328435561469,-70.49328435561469,-70.49328435561469,-70.49328435561469,0.5148899019236839,0.7371788488890152,9.947598300641403e-14,9.947598300641403e-14
5.0,-70.49314239214574,-70.49314239214574,-70.49314239214574,-70.49314239214574,0.47163124806971496,0.7041237733417638,1.7053025658242404e-13,1.7053025658242404e-13
5.5,-70.49299428147982,-70.49299428147982,-70.49299428147982,-70.49299428147982,0.4281594644455798,0.6700461332446667,7.105427357601002e-14,7.105427357601002e-14
6.0,-70.4928405069175,-70.4928405069175,-70.4928405069175,-70.4928405069175,0.3848276998768913,0.6372797515013824,1.1368683772161603e-13,1.1368683772161603e-13
6.5,-70.49268115407702,-70.49268115407702,-70.49268115407702,-70.49268115407702,0.34379498732994884,0.6040382743342683,1.4210854715202004e-13,1.4210854715202004e-13
7.0,-70.32186447395321,-70.32186447395321,-70.32186447395321,-70.32186447395321,0.28550155516221276,0.5762771543505216,1.2789769243681803e-13,1.2789769243681803e-13
7.5,-70.10078264206669,-70.10078264206669,-70.10078264206669,-70.10078264206669,0.22285305166387825,0.5649493799161861,8.526512829121202e-14,8.526512829121202e-14
8.0,-70.10060722829824,-70.10060722829824,-70.10060722829824,-70.10060722829824,0.18013438497268672,0.5401394091043339,1.5631940186722204e-13,1.5631940186722204e-13
8.5,-70.10042644655023,-70.10042644655023,-70.10042644655023,-70.10042644655023,0.13838078711973295,0.5125485168711662,1.2789769243681803e-13,1.2789769243681803e-13
9.0,-70.10024035029832,-70.10024035029832,-70.10024035029832,-70.10024035029832,0.09900046672426208,0.49598431783311453,9.947598300641403e-14,9.947598300641403e-14
9.5,-70.10004899457383,-70.10004899457383,-70.10004899457383,-70.10004899457383,0.10169391242268867,0.4821772174392702,1.4210854715202004e-13,1.4210854715202004e-13
10.0,-70.09985200455296,-70.09985200455296,-70.09985200455296,-70.09985200455296,0.07640875073851164,0.4662869240671987,5.684341886080802e-14,5.684341886080802e-14
10.5,-70.18328690196664,-70.18328690196664,-70.18328690196664,-70.18328690196664,0.0763833155769875,0.4428578059390622,1.1368683772161603e-13,1.1368683772161603e-13
11.0,-70.49100293425684,-70.49100293425684,-70.49100293425684,-70.49100293425684,0.12032148388004568,0.4314802333776622,1.5631940186722204e-13,0.012650632688797426
11.5,-70.49079021938726,-70.49079021938726,-70.49079021938726,-70.49079021938726,0.1632624964489286,0.4339127809656206,1.4210854715202004e-14,0.038959714469697204
12.0,-70.27641602496887,-70.27641602496887,-70.27641602496887,-70.27641602496887,0.16745665975286672,0.4118982751946449,8.526512829121202e-14,0.017651362644465787
12.5,-70.09879106834016,-70.09879106834016,-70.09879106834016,-70.09879106834016,0.09950476101894998,0.40166782359101594,1.2789769243681803e-13,1.2789769243681803e-13
13.0,-70.09856416053076,-70.09856416053076,-70.09856416053076,-70.09856416053076,0.08346621376353103,0.38531726857220505,1.4210854715202004e-13,1.4210854715202004e-13
13.5,-70.09833249919406,-70.09833249919406,-70.09833249919406,-70.09833249919406,0.07464105876842168,0.3779288842722947,7.105427357601002e-14,7.105427357601002e-14
14.0,-70.09809615286215,-70.09809615286215,-70.09809615286215,-70.09809615286215,0.0667896209716974,0.36820703701967067,1.4210854715202004e-14,1.4210854715202004e-14
14.5,-70.09785481043319,-70.09785481043319,-70.09785481043319,-70.09785481043319,0.06684337601349605,0.3554328041735062,8.526512829121202e-14,8.526512829121202e-14
15.0,-70.09760890371854,-70.09760890371854,-70.09760890371854,-70.09760890371854,0.07672908581034622,0.34621983153294494,0.0,0.0
15.5,-69.97021634423592,-69.97021634423592,-69.97021634423592,-69.97021634423592,0.05181429786677626,0.3402974598151147,5.684341886080802e-14,5.684341886080802e-14
16.0,-69.70554842290665,-69.70554842290665,-69.70554842290665,-69.70554842290665,9.947598300641403e-14,0.35760352363691744,9.947598300641403e-14,9.947598300641403e-14
16.5,-69.91944391850377,-69.91944391850377,-69.91944391850377,-69.91944391850377,0.021308052484564646,0.3043820602063323,9.947598300641403e-14,9.947598300641403e-14
17.0,-70.09658143585396,-70.09658143585396,-70.09658143585396,-70.09658143585396,0.04642073228624863,0.27896442733165694,4.263256414560601e-14,4.263256414560601e-14
17.5,-70.09631398906997,-70.09631398906997,-70.09631398906997,-70.09631398906997,0.054817507748005645,0.2699534267522842,5.684341886080802e-14,5.684341886080802e-14
18.0,-70.09604246680783,-70.09604246680783,-70.09604246680783,-70.09604246680783,0.06167566709201932,0.26710820070478747,1.8474111129762605e-13,1.8474111129762605e-13
18.5,-70.09576694938166,-70.09576694938166,-70.09576694938166,-70.09576694938166,0.06679383974214458,0.262704439739943,1.5631940186722204e-13,1.5631940186722204e-13
19.0,-70.05535779474566,-70.05535779474566,-70.05535779474566,-70.05535779474566,0.08345819707460901,0.2578687834305778,8.526512829121202e-14,8.526512829121202e-14
19.5,-69.70365241694329,-69.70365241694329,-69.70365241694329,-69.70365241694329,9.947598300641403e-14,0.2716239961336731,9.947598300641403e-14,9.947598300641403e-14
20.0,-69.70336571929332,-69.70336571929332,-69.70336571929332,-69.70336571929332,1.4210854715202004e-14,0.2621658425573464,1.4210854715202004e-14,1.4210854715202004e-14
20.5,-69.7030753817338,-69.7030753817338,-69.7030753817338,-69.7030753817338,1.1368683772161603e-13,0.2534183751119061,1.1368683772161603e-13,1.1368683772161603e-13
21.0,-69.7027814902454,-69.7027814902454,-69.7027814902454,-69.7027814902454,1.2789769243681803e-13,0.24533101307070648,1.2789769243681803e-13,1.2789769243681803e-13
21.5,-69.96014012799719,-69.96014012799719,-69.96014012799719,-69.96014012799719,1.5631940186722204e-13,0.15970937907910338,1.5631940186722204e-13,1.5631940186722204e-13
