Longitude,Jan,Feb,Nov,Dec,Jan_std,Feb_std,Nov_std,Dec_std
0.0,-71.24242853551482,-71.24242853551482,-71.24242853551482,-71.24242853551482,0.2909682390241585,6.681433852829297,1.7053025658242404e-13,1.7053025658242404e-13
0.5,-71.18853878996924,-71.18853878996924,-71.18853878996924,-71.18853878996924,0.2756764047003847,6.579358938548832,0.0,0.0
1.0,-71.13464904442368,-71.13464904442368,-71.13464904442368,-71.13464904442368,0.263181639318589,6.477428816052642,1.5631940186722204e-13,1.5631940186722204e-13
1.5,-71.0807592988781,-71.0807592988781,-71.0807592988781,-71.0807592988781,0.24947893433874552,6.375650429880334,1.8474111129762605e-13,1.8474111129762605e-13
2.0,-70.76047473489766,-70.76047473489766,-70.76047473489766,-70.76047473489766,0.2674256446188793,6.257248540705016,8.526512829121202e-14,8.526512829121202e-14
2.5,-70.55118983123602,-70.62040084618337,-70.55118983123602,-70.55118983123602,0.28055586218029205,6.147505140589635,8.526512829121202e-14,8.526512829121202e-14
3.0,-70.49796611271341,-70.5906434536976,-70.49796611271341,-70.49796611271341,0.2672234012840096,6.047512125643481,1.1368683772161603e-13,1.1368683772161603e-13
3.5,-70.44478699940986,-70.56088606121183,-70.44478699940986,-70.44478699940986,0.25415068800092444,5.947577627044641,4.263256414560601e-14,4.263256414560601e-14
4.0,-70.39193592838193,-70.53112866872607,-70.39193592838193,-70.39193592838193,0.24129465928129418,5.84779184711497,8.526512829121202e-14,8.526512829121202e-14
4.5,-70.33908485735401,-70.49939291728965,-70.33908485735401,-70.33908485735401,0.22886612386400856,5.748054597642424,1.8474111129762605e-13,1.8474111129762605e-13
5.0,-70.28653715558843,-70.4659713475477,-70.28653715558843,-70.28653715558843,0.21687271879765707,5.648382003053323,9.947598300641403e-14,9.947598300641403e-14
5.5,-70.23405460956052,-70.43254977780575,-70.23405460956052,-70.23405460956052,0.20544886345010369,5.548765729584713,1.1368683772161603e-13,1.1368683772161603e-13
6.0,-70.18178852534275,-70.40336248908588,-70.18178852534275,-70.18178852534275,0.19466110617316693,5.449215133557589,1.1368683772161603e-13,1.1368683772161603e-13
6.5,-70.12970898213031,-70.38039817958693,-70.12970898213031,-70.12970898213031,0.1846320327331214,5.349731625578556,4.263256414560601e-14,4.263256414560601e-14
7.0,-70.07773858308961,-70.35743387008797,-70.07773858308961,-70.07773858308961,0.17551416606638626,5.2503155603273735,7.105427357601002e-14,7.105427357601002e-14
7.5,-70.02607717131337,-70.33446956058903,-70.02607717131337,-70.02607717131337,0.16740929419088296,5.150979647207142,1.2789769243681803e-13,1.2789769243681803e-13
8.0,-69.97441575953715,-70.31408228527687,-69.97441575953715,-69.97441575953715,0.16055510393883268,5.051712697518393,5.684341886080802e-14,5.684341886080802e-14
8.5,-70.06567891630611,-70.28538732951017,-70.06567891630611,-70.06567891630611,0.11902004055139469,4.958813199979705,7.105427357601002e-14,7.105427357601002e-14
9.0,-70.15772656716001,-70.2628616285185,-70.15772656716001,-70.15772656716001,0.08091581398865116,4.866401251997943,9.947598300641403e-14,9.947598300641403e-14
9.5,-70.24968647155073,-70.24968647155073,-70.24968647155073,-70.24968647155073,0.0547302805325734,4.774525678471247,1.1368683772161603e-13,1.1368683772161603e-13
10.0,-70.34032501320209,-70.34032501320209,-70.34032501320209,-70.34032501320209,0.06511987006439535,4.68400855860939,5.684341886080802e-14,5.684341886080802e-14
10.5,-70.43096355485346,-70.38076544775248,-70.43096355485346,-70.43096355485346,0.10338443225641296,4.5940423610208825,4.263256414560601e-14,4.263256414560601e-14
11.0,-70.49960752335379,-70.36661811325185,-70.49960752335379,-70.49960752335379,0.13962701093594118,4.501861969500294,7.105427357601002e-14,7.105427357601002e-14
11.5,-70.4493937607776,-70.14443155901476,-70.4493937607776,-70.4493937607776,0.17320134772830112,4.394137578924647,2.842170943040401e-14,2.842170943040401e-14
12.0,-70.39917999820139,-70.11089895538967,-70.39917999820139,-70.39917999820139,0.20359092849326535,4.2926479822233,1.4210854715202004e-14,1.4210854715202004e-14
12.5,-70.10190170494712,-70.08459783912446,-70.10190170494712,-70.10190170494712,0.1306523225446991,4.1899789831412075,1.2789769243681803e-13,1.2789769243681803e-13
13.0,-69.89003359681688,-69.93122623167649,-69.89003359681688,-69.89003359681688,0.11687993983514076,4.089490918805804,1.4210854715202004e-13,1.4210854715202004e-13
13.5,-69.84096601071225,-69.94589878122194,-69.84096601071225,-69.84096601071225,0.11139077347658047,3.9918412382080097,1.7053025658242404e-13,1.7053025658242404e-13
14.0,-69.81678238008048,-69.94499548684367,-69.81678238008048,-69.81678238008048,0.10089998619320721,3.8956965494089073,2.842170943040401e-14,2.842170943040401e-14
14.5,-69.9134238054271,-69.9453626114774,-69.9134238054271,-69.9134238054271,0.06792447996966303,3.806649878995717,1.8474111129762605e-13,1.8474111129762605e-13
15.0,-70.01006523077372,-70.01006523077372,-70.01006523077372,-70.01006523077372,0.0370076363822677,3.7183285410635643,2.842170943040401e-14,2.842170943040401e-14
15.5,-70.05614356062311,-70.05614356062311,-70.05614356062311,-70.05614356062311,0.023143717638174254,3.6275215953577105,7.105427357601002e-14,7.105427357601002e-14
16.0,-70.00833765067735,-70.00833765067735,-70.00833765067735,-70.00833765067735,0.028386433138846583,3.531024113971494,5.684341886080802e-14,5.684341886080802e-14
16.5,-69.96064354002321,-69.97427134837992,-69.96064354002321,-69.96064354002321,0.03674897595414383,3.4348005512968576,1.2789769243681803e-13,1.2789769243681803e-13
17.0,-69.9135056091511,-69.94259219941824,-69.9135056091511,-69.9135056091511,0.04718611997647351,3.339293432233493,1.5631940186722204e-13,1.5631940186722204e-13
17.5,-69.86636767827899,-69.91414308689019,-69.86636767827899,-69.86636767827899,0.05911296346309821,3.244003350008429,2.842170943040401e-14,2.842170943040401e-14
18.0,-69.96377363131793,-69.96377363131793,-69.96377363131793,-69.96377363131793,0.03578353654561877,3.155880895288689,1.4210854715202004e-14,1.4210854715202004e-14
18.5,-70.06240669093242,-70.06240669093242,-70.06240669093242,-70.06240669093242,0.02381871020631848,3.0686412945067296,1.4210854715202004e-13,1.4210854715202004e-13
19.0,-70.16078174596153,-70.04543917230319,-70.16078174596153,-70.16078174596153,0.03725885413135855,2.982545570159049,9.947598300641403e-14,9.947598300641403e-14
19.5,-70.25833257613337,-70.00726063378076,-70.25833257613337,-70.25833257613337,0.05979854216327411,2.898341272166693,1.4210854715202004e-14,1.4210854715202004e-14
20.0,-70.35588340630522,-69.97063404552827,-70.35588340630522,-70.35588340630522,0.08394977272975214,2.8154272728306147,9.947598300641403e-14,9.947598300641403e-14
20.5,-70.38039804964126,-69.94447001986298,-70.38039804964126,-70.38039804964126,0.09506133234222053,2.726352229252277,9.947598300641403e-14,9.947598300641403e-14
21.0,-70.3354809701495,-69.89766814692169,-70.3354809701495,-70.3354809701495,0.10770708599458162,2.6306619463753225,2.842170943040401e-14,2.842170943040401e-14
21.5,-70.34542080298178,-69.8721534264931,-70.34542080298178,-70.34542080298178,0.12241384264407419,2.5392746266982105,1.1368683772161603e-13,1.1368683772161603e-13
22.0,-70.4436692360084,-69.85427508336704,-70.4436692360084,-70.4436692360084,0.1647383388769989,2.455373491603039,4.263256414560601e-14,4.263256414560601e-14
22.5,-70.54191766903504,-69.8216323693735,-70.54191766903504,-70.54191766903504,0.19639231106995697,2.373674710681626,7.105427357601002e-14,7.105427357601002e-14
23.0,-70.54034089946914,-69.77867878998046,-70.54034089946914,-70.54034089946914,0.196612692484099,2.2815230753394165,4.263256414560601e-14,4.263256414560601e-14
23.5,-70.4970350204575,-69.74478735282182,-70.4970350204575,-70.4970350204575,0.20273082651753055,2.184974126386019,7.105427357601002e-14,7.105427357601002e-14
24.0,-70.45423880659892,-69.70227586439904,-70.45423880659892,-70.45423880659892,0.20176115972811828,2.086765138174958,1.1368683772161603e-13,1.1368683772161603e-13
24.5,-70.41178108049014,-69.65976437597627,-70.41178108049014,-70.41178108049014,0.2021668928392658,1.9886563160847688,5.684341886080802e-14,5.684341886080802e-14
25.0,-70.36975316982505,-69.61725288755349,-70.36975316982505,-70.36975316982505,0.19683609991267823,1.8928967472958307,8.526512829121202e-14,8.526512829121202e-14
25.5,-70.32815213664792,-69.57474139913072,-70.32815213664792,-70.32815213664792,0.19843250318579736,1.7978891129000423,5.684341886080802e-14,5.684341886080802e-14
26.0,-70.28690608657739,-69.53222991070794,-70.28690608657739,-70.28690608657739,0.19619744951905022,1.7024506094694465,1.4210854715202004e-13,1.4210854715202004e-13
26.5,-70.24617640361984,-69.48383902809087,-70.24617640361984,-70.24617640361984,0.20004380298497143,1.607718291261326,7.105427357601002e-14,7.105427357601002e-14
27.0,-70.20572941260139,-69.44258690371879,-70.20572941260139,-70.20572941260139,0.1994747681497418,1.5125367409508506,1.5631940186722204e-13,1.5631940186722204e-13
27.5,-70.16588989733077,-69.39727720759929,-70.16588989733077,-70.16588989733077,0.20917061799387113,1.4181672986556786,1.5631940186722204e-13,1.5631940186722204e-13
28.0,-70.07160937805239,-69.35864235572718,-70.07160937805239,-70.07160937805239,0.19615753815578182,1.320256486294966,1.2789769243681803e-13,1.2789769243681803e-13
28.5,-69.79725597316359,-69.32004694037697,-69.79725597316359,-69.79725597316359,0.11730770756690724,1.2051108693766612,1.5631940186722204e-13,1.5631940186722204e-13
29.0,-69.66953038104313,-69.28186840185454,-69.66953038104313,-69.66953038104313,0.10969716384384842,1.1053540923131775,1.4210854715202004e-13,1.4210854715202004e-13
29.5,-69.631453181644,-69.24368986333211,-69.631453181644,-69.631453181644,0.1292318431472316,1.0146356358265023,4.263256414560601e-14,4.263256414560601e-14
30.0,-69.59387210396312,-69.20644432617007,-69.59387210396312,-69.59387210396312,0.12668748800546395,0.927892006700063,1.5631940186722204e-13,1.5631940186722204e-13
30.5,-69.55673268639084,-69.16921674883876,-69.55673268639084,-69.55673268639084,0.13315532298658275,0.844385608512299,7.105427357601002e-14,7.105427357601002e-14
31.0,-69.5200262500354,-69.13282355328609,-69.5200262500354,-69.5200262500354,0.12516088102900197,0.7613882827891546,8.526512829121202e-14,8.526512829121202e-14
31.5,-69.48386832822302,-69.09654472879161,-69.48386832822302,-69.48386832822302,0.147915027299821,0.679534389032027,1.5631940186722204e-13,1.5631940186722204e-13
32.0,-69.36539887679554,-69.0610326303536,-69.36539887679554,-69.36539887679554,0.13781275562726417,0.5880136453094265,0.0,0.0
32.5,-69.09844736808674,-69.02573529093904,-69.09844736808674,-69.09844736808674,0.0824830854919137,0.48040451277860896,7.105427357601002e-14,7.105427357601002e-14
33.0,-68.8311438539453,-68.8311438539453,-68.8311438539453,-68.8311438539453,0.0402184341220196,0.38262320649132703,1.2789769243681803e-13,1.2789769243681803e-13
33.5,-68.56367930602214,-68.56367930602214,-68.56367930602214,-68.56367930602214,0.00046496793658131635,0.33584261962429923,2.842170943040401e-14,2.842170943040401e-14
34.0,-68.52752030251456,-68.52752030251456,-68.52752030251456,-68.52752030251456,8.526512829121202e-14,0.31737409267251715,8.526512829121202e-14,8.526512829121202e-14
