Longitude,Jan,Feb,Nov,Dec,Jan_std,Feb_std,Nov_std,Dec_std
0.0,-54.5,-57.75,-53.75,-54.5,1.4739742195845895,2.029895317497925,1.1560601195439617,1.5988746042138526
0.5,-54.75,-57.75,-53.75,-54.5,1.4593898553847768,2.0104663638071636,1.1374313166077326,1.5526972499492624
1.0,-54.75,-57.5,-53.75,-54.5,1.4544672564207142,2.0095459686207713,1.1262659543820002,1.5177203299686022
1.5,-54.75,-57.75,-53.75,-54.5,1.4593042006380983,2.027159342528356,1.1227867117133148,1.4947303268482919
2.0,-54.5,-57.75,-53.5,-54.5,1.4738046003456495,2.0628317914944008,1.12706477187427,1.4842843393366383
2.5,-54.5,-57.875,-53.625,-54.5,1.4699829930989,2.08431643470947,1.1016351483136329,1.48609387321259
3.0,-54.5,-57.75,-53.5,-54.5,1.4738046003456495,2.11619351667091,1.0848386976873559,1.4941887430977385
3.5,-54.5,-57.75,-53.5,-54.5,1.4446798953401405,2.1336939799324544,1.0685855136581248,1.4711283934449775
4.0,-54.5,-57.75,-53.5,-54.5,1.4261486598528232,2.160896804569807,1.0615436872781063,1.4585866446666789
4.5,-54.5,-57.75,-53.5,-54.5,1.4283819517201974,2.1714899838590087,1.0537314648429177,1.450627019602213
5.0,-54.5,-57.5,-53.5,-54.5,1.4406248644251565,2.1897488440458184,1.0570122988877662,1.451585340240111
5.5,-54.5,-57.625,-53.5,-54.5,1.416562741286103,2.198094345108963,1.038400211864386,1.424780684877501
6.0,-54.5,-57.5,-53.5,-54.5,1.4012851244482691,2.2312496498599166,1.0292108627487373,1.4092906016858273
6.5,-54.5,-57.75,-53.5,-54.25,1.4030569304201446,2.2470313749478446,1.0125339500480954,1.406449430303131
7.0,-54.5,-57.75,-53.5,-54.0,1.4146642711258397,2.270875381873695,1.0059199769365361,1.4131171218267804
7.5,-54.5,-57.75,-53.5,-54.0,1.4132940246105907,2.310404455934069,1.0004342807001363,1.3957524852207857
8.0,-54.5,-57.75,-53.5,-54.0,1.4203080651745938,2.3895606290697042,1.0060318086422515,1.3861457354838285
8.5,-54.5,-57.875,-53.5,-54.0,1.4209943701507055,2.3847903471793908,0.997781915049576,1.3923990089051352
9.0,-54.5,-58.0,-53.5,-54.0,1.4306903927824492,2.387865155321799,0.9962303950392197,1.4070891940456365
9.5,-54.5,-58.0,-53.5,-54.0,1.4457070069692546,2.374967105035352,0.9813893213195266,1.4035312607847392
10.0,-54.5,-58.0,-53.5,-54.0,1.472039401646574,2.37829245468256,0.9749230738883962,1.4103545653487286
10.5,-54.5,-58.0,-53.25,-54.0,1.4905766501592599,2.3950417532894903,0.9667568205086537,1.4316489618618098
11.0,-54.5,-58.0,-53.0,-54.0,1.5155444566227672,2.421130934088448,0.9697422337920515,1.458860856970259
11.5,-54.5,-58.0,-53.0,-54.0,1.5117787536541183,2.4281821904461784,0.9930351202248595,1.4487300473173048
12.0,-54.5,-58.0,-53.0,-54.0,1.5189716916387868,2.443951718017358,1.0268763314051013,1.4474114826130133
12.5,-54.25,-57.875,-53.0,-54.0,1.5094204185713134,2.4467976520341845,1.0177303179133466,1.4371216893499317
13.0,-54.25,-57.75,-53.0,-54.0,1.5072740294982856,2.460381068046169,1.0158124826955013,1.433274223587378
13.5,-54.25,-58.0,-53.0,-54.0,1.4798205127649773,2.471841418861655,1.006156051514873,1.433638291201794
14.0,-54.0,-58.0,-53.0,-54.0,1.4617113258095784,2.491480483567953,1.0051243704139303,1.4422205101855958
14.5,-54.25,-58.0,-53.0,-53.75,1.4572319650625285,2.499819993519533,0.9982359440533083,1.4435611348328834
15.0,-54.0,-58.0,-53.0,-53.75,1.4637281168304448,2.5146122961601844,1.00093706095838,1.4565284068633884
15.5,-54.25,-58.0,-53.0,-53.875,1.4426451400119156,2.5112248007695364,0.9979071850628186,1.4565455708627866
16.0,-54.0,-58.0,-53.0,-54.0,1.4326199775236987,2.514811126108679,1.0044401425669933,1.4622841721088273
16.5,-54.25,-58.0,-53.0,-53.875,1.4221880149966108,2.516290672795971,0.9901862198596788,1.4471070278317357
17.0,-54.5,-58.0,-53.0,-54.0,1.4199559852333445,2.5278251521812187,0.9835013980671291,1.4399305538809848
17.5,-54.5,-58.0,-53.25,-54.0,1.4077353266860926,2.5293329160076965,0.9773017701815543,1.4329514995281594
