,ACCESS-CM2,ACCESS-ESM1-5,CMCC-CM2-SR5,CMCC-ESM2,CanESM5,EC-Earth3,EC-Earth3-CC,EC-Earth3-Veg,EC-Earth3-Veg-LR,FIO-ESM-2-0,GFDL-ESM4,IPSL-CM5A2-INCA,IPSL-CM6A-LR,MIROC6,MPI-ESM1-2-HR,MPI-ESM1-2-LR,MRI-ESM2-0,NorCPM1,NorESM2-MM,SAM0-UNICON,TaiESM1
1750-01-15,3.8597045,5.922022,3.3258722,2.9309173,12.494137,1.6540749,1.09462,0.5628189,1.2636669,10.489067,5.9877534,2.399904,6.381862,0.07841557,2.5721948,1.1725516,8.685585,9.90405,2.9727361,15.281527,10.381118
1750-02-15,1.1181625,4.3539844,1.0237532,0.21915634,8.8563,0.53226495,0.26759893,0.093609,0.26864442,5.546348,2.432841,0.856302,3.960588,0.015672151,0.95130295,0.47542158,4.8017626,7.0563126,2.0634937,8.903074,5.664995
1750-03-15,1.4148576,4.5616207,1.4386786,0.45691165,9.880801,0.91459334,0.65621316,0.3625589,0.65764976,5.693038,3.539814,1.3128898,4.600606,0.09140131,1.3140584,0.73689055,5.467968,7.481496,2.9834986,6.763332,5.275675
1750-04-15,4.003339,5.9113817,4.108691,3.325496,12.549925,2.2280517,1.8970785,1.7288642,1.8669689,9.000564,7.08095,4.312404,7.900963,0.67024153,3.1928349,1.8933971,8.731215,10.481742,4.6903467,11.26983,8.611294
1750-05-15,7.958962,9.421897,7.692621,6.8132863,15.437388,4.4065084,3.9831624,4.321121,4.5764904,12.508167,11.321821,8.956476,12.921634,1.5838429,6.1185827,3.9974432,13.067725,14.445896,7.2509136,15.547088,12.573259
1750-06-15,11.822666,13.380992,10.574129,9.773424,18.404041,7.7030554,6.842728,7.3999753,8.301655,15.726744,15.623244,13.861849,17.36526,2.60778,9.197112,6.3683906,16.657076,17.635815,9.701664,18.134773,15.307749
1750-07-15,14.465154,15.480268,13.025962,12.283211,20.66224,10.620071,9.162977,10.058968,11.494682,18.189945,18.50309,17.348013,20.581863,3.622514,12.128038,9.138824,19.321396,20.00621,12.065584,20.498587,17.643757
1750-08-15,16.251553,17.350817,14.897284,14.363508,22.392958,13.001092,11.211341,11.723236,13.396496,19.880247,20.766066,20.745716,22.225735,4.135599,15.721151,11.794245,21.159184,21.679619,13.7643585,21.92348,19.035938
1750-09-15,17.174826,18.164207,15.668871,15.517929,23.39462,13.792446,11.969987,12.041273,14.780279,20.632584,22.184717,21.427874,22.948715,4.235604,17.956244,13.963764,22.293411,22.412062,15.038793,22.454268,19.761978
1750-10-15,17.211985,18.162882,15.194475,15.49654,22.624895,13.803387,11.772396,11.362226,14.465267,20.59902,22.578402,19.133415,22.637444,3.8721597,17.828741,13.93544,21.760712,21.935158,14.680628,21.883003,19.769379
1750-11-15,15.606879,17.231363,13.022314,13.837061,20.86218,11.897971,9.82876,9.565769,12.141054,19.570667,20.390766,14.222411,20.98756,2.862846,13.982978,10.067968,20.216677,20.641191,12.469765,20.76643,19.057638
1750-12-15,11.741258,13.90929,8.963217,8.674978,17.228765,8.673509,6.012379,5.633569,5.5955715,16.885204,14.846027,6.8112082,15.177416,1.1763464,7.372514,4.6918645,16.032804,18.896025,6.801451,18.677269,16.596706
1751-01-15,4.546753,6.4900293,4.4544992,2.9170356,12.65456,2.3527126,1.1319978,1.0343534,0.9172231,10.262582,4.9065747,2.7482295,7.5743318,0.11884669,2.8043706,1.565568,9.326355,11.20784,3.8492708,14.511877,10.5689335
1751-02-15,1.1906109,3.5318174,0.984331,0.48757747,9.366732,0.82890975,0.06955221,0.5026963,0.39160478,3.4634697,1.4042692,1.945483,4.374415,0.017298,0.8851655,0.3697816,5.047305,7.453487,2.0007014,8.659378,4.7104044
1751-03-15,1.6329751,3.884345,1.2981427,0.8203705,10.303211,1.5865641,0.73511916,0.45993596,0.8654065,4.1168904,3.0294616,2.3913445,5.1183367,0.107673295,1.3737595,0.60478294,6.0655804,7.618625,2.8837805,7.6561537,4.638443
1751-04-15,4.742941,5.6207333,4.8955054,3.5548394,12.788089,3.030467,2.3931522,1.834699,1.9633609,8.099234,6.7101717,5.431774,8.234971,0.73836863,3.3100805,1.7559712,9.5002575,11.579168,4.975687,12.2294855,7.741153
1751-05-15,9.428,8.990433,8.096128,7.0056124,15.81462,6.293346,4.2103095,4.226139,4.192239,12.308431,11.187222,11.771871,12.699104,1.7003003,6.222432,3.6592498,14.564552,15.3069,7.376198,15.82126,11.634779
1751-06-15,13.400937,12.856662,10.619064,9.879883,18.404844,9.415855,7.38656,6.986714,7.0333033,15.609432,15.450562,17.388618,16.867214,2.6423376,9.886602,5.851782,17.973711,18.558186,10.00407,18.58807,14.957544
1751-07-15,15.369156,15.761355,12.870617,12.384336,20.815474,12.225474,9.407013,9.147813,9.9335985,18.24355,18.694773,20.992311,19.918955,3.5214052,13.347868,9.151093,20.0989,21.01329,12.952674,20.19147,17.386692
1751-08-15,16.736778,17.629936,15.006204,14.3989935,22.389536,14.268818,11.103704,10.693528,12.493626,19.935345,21.333838,22.927809,22.133455,3.9418778,17.444078,12.397304,22.075474,22.427937,14.922039,21.561367,18.940928
1751-09-15,17.20639,18.591867,15.210024,15.156148,22.596027,15.41312,12.146317,11.1347275,13.8003025,20.499943,22.819029,22.286179,23.091286,4.1368713,18.925114,14.827148,22.514475,22.456789,15.386495,22.165398,19.6371
1751-10-15,16.329092,18.577053,14.759186,14.659599,21.234112,15.045942,11.657463,10.871741,13.873253,20.39265,22.379126,19.405514,22.640982,3.9902549,18.451725,13.990328,21.625626,21.552261,14.6185665,21.774817,19.651232
1751-11-15,14.362519,16.864632,13.3382,13.289886,19.259325,12.849987,9.4781065,9.172066,11.5037365,18.914112,20.112738,14.853625,20.706432,3.041362,13.942288,11.035831,19.709383,20.384253,12.083537,20.859715,18.465721
1751-12-15,10.25561,12.70038,9.286549,9.036988,16.49232,7.1945,4.635894,5.555221,6.1106596,16.587475,13.489279,8.298019,16.379375,0.9964158,8.642569,6.6422253,16.337465,17.60227,7.32755,18.603668,16.319696
1752-01-15,3.0179477,6.036187,3.6151767,3.7203195,12.717154,1.4299469,1.1282355,0.7095664,1.365421,10.614465,3.9584312,3.614291,7.7664337,0.20624751,3.7303643,1.851964,6.9620943,10.866888,2.8006277,13.566788,10.070148
1752-02-15,0.74174696,3.211161,0.82143176,0.8869806,8.715955,0.78141946,0.43383694,0.35825798,0.54642534,5.4946547,1.7634902,2.2611828,2.9358168,0.06509404,1.311058,0.33019972,3.6751573,7.8415914,1.9606191,9.277196,4.7942815
1752-03-15,0.9345114,3.3540344,1.0573164,1.2134416,9.833784,1.1965176,0.9430223,0.7720065,0.92867786,5.3949776,2.7777326,2.8517656,4.310229,0.16192621,1.5815074,0.85147107,3.7353926,7.830496,2.527063,8.9089155,4.5616236
1752-04-15,3.0792189,4.856663,4.8991137,4.063078,12.866489,2.9537663,2.1404343,1.7110746,2.1149087,8.613266,5.7561874,6.1113586,7.307236,0.8238051,3.827835,2.3958673,6.876684,11.503988,4.4137077,12.273981,7.658704
1752-05-15,6.1636553,7.7654524,8.181337,7.8417153,15.755795,5.576912,3.7992332,3.5586734,4.120907,12.638926,10.076392,10.91774,12.236402,1.8609211,6.8426824,4.4339027,11.197155,15.345619,7.085434,15.889562,12.062349
1752-06-15,10.071663,12.415715,10.561508,10.566913,18.497465,8.780014,6.3019733,6.099512,6.7051644,15.585308,14.317648,15.432083,16.634031,2.692043,10.223314,7.510673,15.566744,18.648258,9.77113,18.610308,14.804363
1752-07-15,13.247181,15.525686,13.003271,12.984659,21.095776,11.535969,8.290722,8.662727,9.54858,17.771215,17.839233,18.842192,20.226086,3.2749634,14.566528,10.354644,18.780449,20.958279,12.16374,20.55376,16.683765
1752-08-15,15.202223,17.720331,15.037842,14.763956,22.221607,13.721768,9.744776,10.7326565,11.6072,19.40474,20.330574,21.47295,22.484085,3.9434752,17.841715,13.492777,21.147034,22.584177,14.789499,21.9382,18.181896
1752-09-15,16.172447,18.845182,15.483234,15.432588,22.482624,14.321533,10.099838,11.618336,12.604578,20.300743,21.671545,21.644531,23.202015,4.376231,19.445787,16.186714,21.98166,23.152382,16.073553,22.402208,18.997124
1752-10-15,16.3142,18.772385,15.3652115,14.983568,21.325844,14.221313,9.952128,11.283218,12.481469,20.079136,21.835745,18.353674,22.685661,3.7458363,19.583464,15.516594,21.419224,22.518599,14.922456,22.141846,18.97704
1752-11-15,15.066693,16.851925,13.813185,13.434747,19.76199,12.560469,8.3762455,9.469372,10.522146,18.853199,19.987034,13.661337,21.502455,2.8234048,15.71334,12.166284,20.110283,20.984238,11.483775,21.022736,17.895657
1752-12-15,11.805141,12.291841,9.833536,8.97093,16.721626,7.185162,5.13856,5.553825,5.6111946,15.84013,13.055337,7.290557,16.127655,0.9973277,8.097465,6.0055313,16.28092,19.36313,7.0387993,19.005657,15.7715845
1753-01-15,4.402565,6.7444906,3.1818602,3.8204105,12.863697,2.1095128,1.0527232,1.0651782,1.1512297,10.180251,3.4620705,2.6067233,7.269266,0.22073711,3.4347224,1.9460921,8.870561,12.49559,2.9590409,14.716919,10.2371435
1753-02-15,1.3968382,3.603619,0.24684146,1.1141987,8.072105,1.2846799,0.18903366,0.4528148,0.4919095,5.2185082,0.9747937,1.3688006,3.8562489,0.067253694,1.1188799,0.8280097,4.528525,6.563442,2.2292516,7.7378054,4.601798
1753-03-15,2.050478,3.8116016,0.46709228,1.6107196,9.22662,1.7214203,0.46614587,0.66243094,0.98763376,5.6380877,2.205252,1.7387307,4.8068547,0.18849316,1.7525536,1.3857404,5.1083245,7.1797523,2.6324801,8.037389,4.4679384
1753-04-15,4.477899,5.458536,3.3714104,4.6384163,12.354419,2.8785217,1.6139957,1.7235729,2.0665128,9.36592,5.233304,3.700864,8.208528,0.7979177,3.4196053,2.8228278,7.727072,11.216486,4.4001565,12.113749,7.6917295
1753-05-15,8.687918,9.04962,7.5230513,8.068612,15.290217,4.9515805,3.76086,3.8979902,4.4702454,12.978189,8.99383,8.568728,12.877851,1.8799953,6.4977765,5.138026,12.141741,15.081246,7.185186,15.578594,12.022886
1753-06-15,11.697317,12.729413,10.47762,10.877779,18.484055,7.949636,5.798168,6.6063557,7.920472,15.756444,13.11322,13.496073,17.604725,2.7861285,10.050931,8.271587,16.247961,18.306053,9.8989,18.137535,14.841747
1753-07-15,14.099661,15.6794195,12.789365,13.255665,20.433107,11.157609,7.9819727,8.937164,10.954031,18.007402,17.31826,17.563318,21.087048,3.3846452,13.965445,11.742668,19.037184,20.40181,12.195017,20.614216,17.015417
1753-08-15,15.770431,17.467468,14.494954,14.935244,21.853098,13.6687565,9.616189,10.752875,13.072007,19.141325,20.074396,20.843472,23.169323,4.0549827,17.729288,15.425756,20.94596,22.028082,13.968136,21.914867,18.684126
1753-09-15,16.588419,18.351368,15.392353,15.8594,22.454012,15.114128,10.183447,11.541833,13.956866,20.170786,21.434158,21.651587,24.160793,4.2682395,20.193573,17.663591,22.111538,22.618906,15.141952,22.179483,19.344494
1753-10-15,16.343037,18.050304,15.286304,15.5932,21.241596,14.50502,9.212235,11.2113285,13.433618,19.96576,21.255196,18.359165,23.400547,3.9061391,20.147604,17.949697,21.696947,22.567461,14.734076,21.769741,19.253265
1753-11-15,14.88609,16.812021,13.701065,14.087244,19.76483,12.270319,7.3399353,8.847084,11.910907,18.380245,19.885431,13.075561,21.70615,2.8035588,15.175438,14.75136,19.97664,21.00298,12.893015,20.626095,18.358978
1753-12-15,10.244908,11.255086,9.133179,9.667141,16.849861,7.259613,3.076721,4.820094,6.694944,15.942465,13.108137,6.1297874,15.897975,0.9662543,8.540908,7.226753,16.209024,18.632652,7.642925,18.126942,15.7593565
1754-01-15,4.284316,5.344687,4.005701,3.9513736,11.70581,2.1888878,0.38957554,0.7340726,1.381648,10.374637,4.270183,2.3098407,8.180363,0.18981713,3.1680613,1.9205091,7.0461683,10.899905,3.6244442,14.034838,10.4632015
1754-02-15,1.4969577,3.3197742,0.56685555,1.0627117,8.896194,0.69881374,0.017350452,0.26183972,0.53155804,4.4910383,1.2648437,1.4282585,4.384417,0.06771521,0.98531175,0.73663044,4.4601703,5.60913,2.1668692,9.287047,5.7593718
1754-03-15,1.912056,3.3236089,1.3195866,1.0132401,9.762387,1.2172254,0.294543,0.48274967,0.8102242,4.160113,2.538466,1.8148192,5.483108,0.14599325,1.3536764,1.2674303,5.3596025,5.8158774,2.9708142,8.6067705,5.496525
1754-04-15,3.865076,4.5526104,4.521994,4.1788187,12.368618,2.7683008,1.2615612,1.6431677,2.0111008,8.554449,5.521703,3.90103,9.293186,0.66177887,3.9327793,2.781773,8.148989,9.999623,5.0004725,12.04901,9.008837
1754-05-15,7.028279,7.397196,8.07896,7.600957,15.357334,5.3054485,2.6976602,3.0739396,4.7099886,12.496784,9.100438,8.533077,13.929301,1.4473797,7.660709,5.578472,13.06232,15.131063,7.5236273,15.683317,12.934951
1754-06-15,10.92425,11.744732,10.671555,10.437729,18.729515,8.076279,4.579684,5.103177,8.147122,15.33293,13.003494,12.741131,18.279322,2.5538275,11.501669,9.227068,16.691887,18.946915,10.273941,17.616219,15.543431
1754-07-15,14.034073,14.623644,13.474064,12.784543,21.219063,10.650925,6.5228977,7.9033346,11.478733,17.623943,16.737446,16.908722,20.96533,3.4970078,14.545687,13.81159,19.145184,21.293468,12.687055,19.699059,17.528347
1754-08-15,15.872071,16.407713,15.224638,14.491361,22.29093,12.758838,7.889356,10.431371,13.162569,19.059889,19.523714,20.509426,23.182865,4.145344,18.29772,17.79242,20.79444,22.522121,14.8058815,21.11023,19.450596
