Longitude,ACCESS-CM2,ACCESS-ESM1-5,CMCC-CM2-SR5,CMCC-ESM2,CanESM5,EC-Earth3,EC-Earth3-CC,EC-Earth3-Veg,EC-Earth3-Veg-LR,FIO-ESM-2-0,GFDL-ESM4,IPSL-CM5A2-INCA,IPSL-CM6A-LR,MIROC6,MPI-ESM1-2-HR,MPI-ESM1-2-LR,MRI-ESM2-0,NorCPM1,NorESM2-MM,SAM0-UNICON,TaiESM1
-179.5,-62.6025276184082,-59.217960357666016,-62.195125579833984,-61.72504806518555,-63.11375427246094,-65.70331573486328,-66.51325988769531,,-66.11151885986328,-59.5878975,-63.33876800537109,-67.39264266205032,-62.65800094604492,-75.34375,-77.93395154635435,-78.20910004680931,-63.0,-58.92011642456055,,-59.98857116699219,-59.45434188842773
-179.0,-62.6025276184082,-59.217960357666016,-62.195125579833984,-61.842567443847656,-63.11375427246094,-65.80536651611328,-66.3123893737793,,-66.11151885986328,-59.46917972222222,-63.56225204467773,-67.47733239427836,-62.65800094604492,-75.5,-77.9338526289565,-78.16079075142859,-63.0,-58.92011642456055,,-59.98857116699219,-59.45434188842773
-178.5,-62.6025276184082,-59.217960357666016,-62.195125579833984,-61.72504806518555,-63.11375427246094,-65.90741729736328,-66.11151885986328,,-66.11151885986328,-59.45434,-63.67355728149414,-67.58253157976092,-62.65800094604492,-75.75,-77.93374746855157,-78.11248145604789,-63.0,-58.92011642456055,,-59.98857116699219,-59.45434188842773
-178.0,-62.6025276184082,-59.217960357666016,-62.195125579833984,-61.72504806518555,-62.99981594085693,-66.00946807861328,-66.3123893737793,,-66.11151885986328,-59.45434,-63.78399658203125,-67.6774673461914,-62.65800094604492,-75.75,-77.93363614032027,-78.06417216066717,-63.0,-58.92011642456055,,-59.98857116699219,-59.45434188842773
-177.5,-62.6025276184082,-59.217960357666016,-62.195125579833984,-61.72504806518555,-63.11375427246094,-66.11151885986328,-66.51325988769531,,-66.51325988769531,-59.45434,-63.839216232299805,-67.6774673461914,-62.65800094604492,-75.75,-77.93351867728484,-78.03259812409951,-63.0,-58.92011642456055,,-59.98857116699219,-59.45434188842773
-177.0,-62.6025276184082,-59.217960357666016,-62.07760620117188,-61.72504806518555,-62.88587760925293,-66.00946807861328,-66.51325988769531,,-66.3123893737793,-59.45434,-63.839216232299805,-67.67747893609116,-62.65800094604492,-75.75,-77.93339511424605,-78.06878508189706,-63.0,-58.92011642456055,,-59.98857116699219,-59.45434188842773
-176.5,-62.6025276184082,-59.217960357666016,-61.960086822509766,-61.72504806518555,-62.65800094604492,-66.11151885986328,-66.51325988769531,,-66.51325988769531,-59.45434,-63.839216232299805,-67.86736785380178,-62.65800094604492,-75.75,-77.93326548779005,-78.10497203969462,-63.0,-58.92011642456055,,-59.98857116699219,-59.45434188842773
-176.0,-62.6025276184082,-59.217960357666016,-61.960086822509766,-61.72504806518555,-62.65622043609619,-66.11151885986328,-66.51325988769531,,-66.51325988769531,-59.45434,-63.78399658203125,-68.0572509765625,-62.65800094604492,-75.75,-77.93312983629298,-78.14115899749217,-63.0,-58.92011642456055,,-59.98857116699219,-59.45434188842773
-175.5,-62.6025276184082,-59.217960357666016,-61.72504806518555,-61.72504806518555,-62.65800094604492,-66.11151885986328,-66.51325988769531,,-66.51325988769531,-59.45434,-63.78399658203125,-68.0572509765625,-62.65800094604492,-75.75,-77.93298819990697,-78.17668555623023,-63.0,-58.92011642456055,,-59.98857116699219,-59.45434188842773
-175.0,-62.6025276184082,-59.217960357666016,-61.72504806518555,-61.48637008666992,-62.42656326293945,-66.11151885986328,-66.51325988769531,,-66.3123893737793,-59.45434,-63.67355728149414,-68.0572509765625,-62.42656326293945,-76.0,-77.93284062043884,-78.21170766450503,-63.0,-58.92011642456055,,-59.98857116699219,-59.45434188842773
