Longitude,ACCESS-CM2,ACCESS-ESM1-5,CMCC-CM2-SR5,CMCC-ESM2,CanESM5,EC-Earth3,EC-Earth3-CC,EC-Earth3-Veg,EC-Earth3-Veg-LR,FIO-ESM-2-0,GFDL-ESM4,IPSL-CM5A2-INCA,IPSL-CM6A-LR,MIROC6,MPI-ESM1-2-HR,MPI-ESM1-2-LR,MRI-ESM2-0,NorCPM1,NorESM2-MM,SAM0-UNICON,TaiESM1
-179.5,-63.2335090637207,-59.217960357666016,-63.11375427246094,-63.11375427246094,-65.70331573486328,-74.82230347739625,-75.6301442317304,,-74.9736660899286,-61.59125,-71.41753387451172,-75.4658203125,-68.42086792550981,,-77.93393252224367,-76.13396356560877,-66.125,-60.25568389892578,,-61.85836410522461,-61.591251373291016
-179.0,-63.2335090637207,-59.57159996032715,-63.11375427246094,-62.99981594085693,-65.70331573486328,-74.84470059011015,-75.63570523308766,,-75.07634409233479,-61.59125,-71.82523727416992,-75.40114391926271,-68.4208908136934,,-77.93360485027915,-76.20112625737153,-66.25,-60.01825035942925,,-62.09579764472114,-61.591251373291016
-178.5,-63.2335090637207,-59.217960357666016,-63.11375427246094,-63.11375427246094,-65.70331573486328,-74.85967253390955,-75.6411209985172,,-75.15116526672028,-61.59125,-72.38419151306152,-75.39680495459316,-68.42091370280832,,-77.93344689113938,-76.34398202963357,-66.25,-59.98857116699219,,-62.02159966362847,-61.591251373291016
-178.0,-63.2335090637207,-59.217960357666016,-62.88587760925293,-62.88587760925293,-65.70331573486328,-74.80123117643825,-75.64646147761508,,-75.15813333703979,-61.59125,-72.80481864666118,-75.4658203125,-68.42094040568918,,-77.92797213253112,-76.17212593675424,-66.25,-59.98857116699219,,-61.90288289388021,-61.591251373291016
-177.5,-63.2335090637207,-59.217960357666016,-62.65800094604492,-62.65800094604492,-65.70331573486328,-74.71168231406062,-75.65165745092223,,-75.15102078330516,-61.59125,-73.30481338500977,-75.4658203125,-68.4209445982356,,-77.83728614625907,-76.4043501090558,-66.125,-59.84017414516873,,-61.85836410522461,-61.591251373291016
-177.0,-63.2335090637207,-59.217960357666016,-62.65800094604492,-62.88587760925293,-65.70331573486328,-74.81907808956707,-75.80965427177458,,-75.15539282641342,-61.59125,-74.04131507873535,-75.33394802501593,-68.32880142439383,,-77.8445918176455,-76.46563378697994,-66.0,-59.60273891025119,,-61.73964733547635,-61.591251373291016
-176.5,-63.2335090637207,-59.217960357666016,-62.65800094604492,-62.65800094604492,-65.70331573486328,-74.90290353878522,-75.90727314332013,,-75.15967369705064,-61.50221166666667,-74.7778148651123,-75.14463988610204,-68.42101288330741,,-77.82079651589177,-76.48066010481377,-66.0,-59.45434188842773,,-61.591251373291016,-61.591251373291016
-176.0,-63.2335090637207,-59.217960357666016,-62.65800094604492,-62.65800094604492,-65.70331573486328,-74.90673944956814,-75.9316120374047,,-75.16384836043298,-61.26477611111111,-75.05400085449219,-75.2105657569322,-68.421035771491,,-77.77882246575464,-76.45885608938504,-66.0,-59.45434188842773,,-61.591251373291016,-61.591251373291016
-175.5,-63.2335090637207,-59.217960357666016,-62.65800094604492,-62.65800094604492,-65.70331573486328,-75.06975262746715,-75.95915302993352,,-75.23058138315982,-61.05702,-75.05400085449219,-74.95533752441406,-68.42105865885969,,-77.75331093123124,-76.43705207395632,-66.0,-59.45434188842773,,-61.591251373291016,-61.56157196892632
-175.0,-63.2335090637207,-59.217960357666016,-62.65800094604492,-62.65800094604492,-65.70331573486328,-75.1069728550946,-75.94409186574009,,-75.36107303880091,-61.05702,-74.99070739746094,-74.95533752441406,-68.42107773234602,,-77.74486964859508,-76.41524805852761,-66.0,-59.45434188842773,,-61.591251373291016,-61.32413673400879
