Longitude,ACCESS-CM2,ACCESS-ESM1-5,CMCC-CM2-SR5,CMCC-ESM2,CanESM5,EC-Earth3,EC-Earth3-CC,EC-Earth3-Veg,EC-Earth3-Veg-LR,FIO-ESM-2-0,GFDL-ESM4,IPSL-CM5A2-INCA,IPSL-CM6A-LR,MIROC6,MPI-ESM1-2-HR,MPI-ESM1-2-LR,MRI-ESM2-0,NorCPM1,NorESM2-MM,SAM0-UNICON,TaiESM1
-179.5,-62.6025276184082,-59.217960357666016,-62.195125579833984,-61.72504806518555,-64.86719512939453,-68.92362691754562,-71.79182074782271,,-71.15725128664411,-60.5228,-68.4715347290039,-71.84059159719855,-65.70331573486328,-72.00027472527472,-74.80143789417497,-76.51841065764054,-64.0,-59.45434188842773,,-60.522796630859375,-60.25568389892578
-179.0,-62.6025276184082,-59.217960357666016,-62.195125579833984,-61.960086822509766,-64.86719512939453,-69.1275046720975,-71.94687745000249,,-71.15792617911886,-60.5228,-68.70169067382812,-71.96184269114201,-65.49594116210938,-72.01524725274726,-74.8013405203303,-76.72113616582897,-64.0,-59.45434188842773,,-60.522796630859375,-60.01825035942925
-178.5,-62.6025276184082,-59.217960357666016,-62.195125579833984,-62.195125579833984,-64.86719512939453,-69.15550712516013,-71.94316563203355,,-71.14822369364936,-60.41892194444444,-68.74772262573242,-71.93846606772046,-65.70331573486328,-72.03021978021977,-74.89818697488124,-76.951998040785,-64.0,-59.45434188842773,,-60.31504228379991,-60.19632551405165
-178.0,-62.6025276184082,-59.217960357666016,-62.195125579833984,-62.07760620117188,-64.86719512939453,-69.26782435416703,-72.13154656911087,,-71.1592525278195,-60.30020416666667,-68.83978271484375,-72.02512965228141,-65.70331573486328,-72.04578754578755,-75.06554669433305,-77.1282637948995,-64.0,-59.45434188842773,,-60.25568389892578,-60.25568389892578
-177.5,-62.6025276184082,-59.217960357666016,-62.195125579833984,-62.195125579833984,-64.86719512939453,-69.2092869660001,-72.10378758506981,,-71.15990382557025,-60.181486388888885,-68.97787857055664,-72.03379673149458,-65.70331573486328,-72.06135531135531,-75.0961030230063,-77.2851392057251,-64.0,-59.3059459262424,,-60.25568389892578,-60.25568389892578
-177.0,-62.6025276184082,-59.217960357666016,-62.195125579833984,-61.960086822509766,-64.86719512939453,-69.3122994597562,-72.21836490499788,,-71.1605253272403,-60.06276861111111,-68.79375457763672,-72.03735800875981,-65.70331573486328,-72.07692307692308,-75.19245391146995,-77.43816726453213,-64.0,-59.06851238674588,,-60.13696712917752,-60.25568389892578
-176.5,-62.6025276184082,-59.217960357666016,-62.195125579833984,-61.72504806518555,-64.86719512939453,-69.14094178643846,-72.28151996427809,,-71.16294363233746,-59.98857,-68.88581848144531,-71.93057855015903,-65.70331573486328,-72.09249084249083,-75.58388937370535,-77.62387688859289,-63.75,-58.96463521321614,,-59.98857116699219,-60.21116511027019
-176.0,-62.6025276184082,-59.217960357666016,-61.960086822509766,-61.72504806518555,-64.65314865112305,-69.3163200264882,-72.15182444386228,,-71.16414666221829,-59.98857,-69.06993865966797,-71.9463368798265,-65.70331573486328,-72.10330261136713,-75.58375530236323,-77.81459793072018,-63.75,-59.02399359809028,,-59.98857116699219,-60.09244834052192
-175.5,-62.6025276184082,-59.217960357666016,-61.72504806518555,-61.72504806518555,-64.43910217285156,-69.31611436009706,-72.1355916121505,,-71.32054922109913,-59.98857,-69.16200256347656,-71.86412556897868,-65.70331573486328,-72.10067640032088,-75.58361531584801,-77.94210805838739,-63.625,-58.92011642456055,,-59.98857116699219,-59.98857116699219
-175.0,-62.6025276184082,-59.217960357666016,-61.960086822509766,-61.72504806518555,-64.5461254119873,-69.40447219722199,-72.02307068208691,,-71.48016449983777,-59.98857,-69.20803451538086,-71.66110491936887,-65.70331573486328,-72.09445458366758,-75.97165536383255,-77.92855278964473,-63.5,-58.92011642456055,,-59.98857116699219,-59.98857116699219
-174.5,-62.6025276184082,-59.217960357666016,-62.195125579833984,-61.72504806518555,-64.43910217285156,-69.49240588194999,-72.14643492672165,,-71.47871121613247,-59.98857,-68.93184852600098,-71.73656096294764,-65.70331573486328,-72.08823276701428,-75.97487928035973,-78.05148911920512,-63.5,-58.92011642456055,,-59.98857116699219,-59.98857116699219
