Longitude,ACCESS-CM2,ACCESS-ESM1-5,CMCC-CM2-SR5,CMCC-ESM2,CanESM5,EC-Earth3,EC-Earth3-CC,EC-Earth3-Veg,EC-Earth3-Veg-LR,FIO-ESM-2-0,GFDL-ESM4,IPSL-CM5A2-INCA,IPSL-CM6A-LR,MIROC6,MPI-ESM1-2-HR,MPI-ESM1-2-LR,MRI-ESM2-0,NorCPM1,NorESM2-MM,SAM0-UNICON,TaiESM1
-179.5,-62.6025276184082,-59.217960357666016,-62.195125579833984,-62.195125579833984,-60.27082061767578,-64.43910217285156,-65.28856658935547,,-64.43910217285156,-59.45434,-61.72482299804688,-65.70331573486328,-61.2476921081543,-74.25,-77.93395154635435,-78.20910004680931,-62.5,-58.92011642456055,,-59.98857116699219,-59.45434188842773
-179.0,-62.6025276184082,-59.217960357666016,-62.195125579833984,-62.195125579833984,-60.0209846496582,-64.43910217285156,-65.077880859375,,-64.43910217285156,-59.45434,-61.8432502746582,-65.70331573486328,-61.12651252746582,-74.25,-77.9338526289565,-78.16079075142859,-62.5,-58.92011642456055,,-59.98857116699219,-59.45434188842773
-178.5,-62.6025276184082,-59.217960357666016,-62.195125579833984,-62.195125579833984,-60.27082061767578,-64.43910217285156,-65.28856658935547,,-64.43910217285156,-59.45434,-62.01907539367676,-65.70331573486328,-61.005332946777344,-74.25,-77.93374746855157,-78.11248145604789,-62.5,-58.92011642456055,,-59.98857116699219,-59.350464714898
-178.0,-62.6025276184082,-59.217960357666016,-62.195125579833984,-62.195125579833984,-60.0209846496582,-64.43910217285156,-65.077880859375,,-64.43910217285156,-59.45434,-62.07828521728516,-65.70331573486328,-61.005332946777344,-74.25,-77.93363614032027,-78.06417216066717,-62.5,-58.92011642456055,,-59.98857116699219,-59.231747945149735
-177.5,-62.6025276184082,-59.217960357666016,-62.195125579833984,-62.195125579833984,-59.77114868164063,-64.43910217285156,-65.28856658935547,,-64.43910217285156,-59.45434,-62.13659286499024,-65.70331573486328,-61.2476921081543,-74.25,-77.93351867728484,-78.03259812409951,-62.5,-58.92011642456055,,-59.98857116699219,-59.113031175401474
-177.0,-62.6025276184082,-59.217960357666016,-62.195125579833984,-61.960086822509766,-59.89606666564941,-64.43910217285156,-65.18322372436523,,-64.43910217285156,-59.45434,-62.07828521728516,-65.70331573486328,-61.005332946777344,-74.5,-77.93339511424605,-78.06878508189706,-62.5,-58.92011642456055,,-59.98857116699219,-58.99431440565321
-176.5,-62.6025276184082,-59.217960357666016,-62.195125579833984,-61.72504806518555,-59.77114868164063,-64.43910217285156,-65.28856658935547,,-64.43910217285156,-59.45434,-62.13659286499024,-65.70331573486328,-60.76297378540039,-74.75,-77.93326548779005,-78.10497203969462,-62.5,-58.92011642456055,,-59.98857116699219,-58.92011642456055
-176.0,-62.6025276184082,-59.217960357666016,-62.195125579833984,-61.72504806518555,-60.01342964172363,-64.43910217285156,-65.18322372436523,,-64.43910217285156,-59.45434,-62.01952648162842,-65.70331573486328,-61.005332946777344,-74.75,-77.93312983629298,-78.14115899749217,-62.5,-58.92011642456055,,-59.98857116699219,-58.92011642456055
-175.5,-62.6025276184082,-59.217960357666016,-62.195125579833984,-61.72504806518555,-59.77114868164063,-64.43910217285156,-65.077880859375,,-64.43910217285156,-59.45434,-61.90200901031494,-65.70331573486328,-61.2476921081543,-74.75,-77.93298819990697,-78.17668555623023,-62.5,-58.92011642456055,,-59.98857116699219,-58.93495602077908
-175.0,-62.27927970886231,-59.217960357666016,-61.960086822509766,-61.72504806518555,-59.77114868164063,-64.22166442871094,-65.077880859375,,-64.43910217285156,-59.45434,-61.96076774597168,-65.70331573486328,-61.12651252746582,-74.75,-77.93284062043884,-78.21170766450503,-62.5,-58.92011642456055,,-59.98857116699219,-59.053672790527344
-174.5,-61.956031799316406,-59.217960357666016,-61.72504806518555,-61.72504806518555,-59.77114868164063,-64.43910217285156,-65.28856658935547,,-64.43910217285156,-59.45434,-61.84279537200928,-65.70331573486328,-61.005332946777344,-74.75,-77.93268665059959,-78.24672977277984,-62.5,-58.92011642456055,,-59.98857116699219,-58.93495602077908
-174.0,-61.956031799316406,-59.03376293182373,-61.72504806518555,-61.48637008666992,-59.77114868164063,-64.43910217285156,-65.28856658935547,,-64.43910217285156,-59.45434,-61.66560935974121,-65.70331573486328,-60.88415336608887,-74.75,-77.9325267927984,-78.28175188105466,-62.5,-58.92011642456055,,-59.98857116699219,-59.02399359809028
-173.5,-61.956031799316406,-59.217960357666016,-61.72504806518555,-61.2476921081543,-59.77114868164063,-64.43910217285156,-65.28856658935547,,-64.43910217285156,-59.45434,-61.60639572143555,-65.70331573486328,-60.76297378540039,-74.75,-77.93236113604574,-78.23920920671306,-62.5,-58.92011642456055,,-59.98857116699219,-58.96463521321614
-173.0,-61.956031799316406,-58.85694313049317,-61.72504806518555,-61.2476921081543,-59.64243507385254,-64.33038330078125,-65.28856658935547,,-64.43910217285156,-59.45434,-61.60639572143555,-65.70331573486328,-61.005332946777344,-75.0,-77.93218972944096,-78.18713093537536,-62.5,-58.92011642456055,,-59.98857116699219,-58.92011642456055
-172.5,-61.956031799316406,-58.85694313049317,-61.72504806518555,-61.2476921081543,-59.77114868164063,-64.43910217285156,-65.28856658935547,,-64.43910217285156,-59.45434,-61.60639572143555,-65.70331573486328,-60.76297378540039,-75.25,-77.93201262375807,-78.13505266403767,-62.375,-58.92011642456055,,-59.98857116699219,-58.92011642456055
-172.0,-61.956031799316406,-58.85694313049317,-61.48637008666992,-61.2476921081543,-59.64433288574219,-64.22166442871094,-65.28856658935547,,-64.43910217285156,-59.45434,-61.42738723754883,-65.70331573486328,-60.76297378540039,-75.25,-77.93182987143612,-78.08297439269997,-62.25,-58.92011642456055,,-59.98857116699219,-58.92011642456055
-171.5,-61.956031799316406,-58.49592590332031,-61.2476921081543,-61.2476921081543,-59.77114868164063,-64.00422668457031,-65.28856658935547,,-64.43910217285156,-59.45434,-61.36771774291992,-65.70331573486328,-60.76297378540039,-75.25,-77.93164152656064,-78.03089612136228,-62.125,-58.92011642456055,,-59.98857116699219,-58.92011642456055
-171.0,-61.956031799316406,-58.669020652771,-61.2476921081543,-61.2476921081543,-59.77114868164063,-64.22166442871094,-65.28856658935547,,-64.33038330078125,-59.45434,-61.30758953094482,-65.70331573486328,-60.76297378540039,-75.25,-77.93144764484497,-78.05871534147764,-62.0,-58.92011642456055,,-59.98857116699219,-58.92011642456055
-170.5,-61.956031799316406,-58.49592590332031,-61.2476921081543,-61.2476921081543,-59.77114868164063,-64.43910217285156,-65.28856658935547,,-64.22166442871094,-59.45434,-61.12720489501953,-65.70331573486328,-60.76297378540039,-75.25,-77.93124828362446,-78.09135855499598,-62.0,-58.92011642456055,,-59.98857116699219,-58.92011642456055
-170.0,-61.956031799316406,-58.85694313049317,-61.2476921081543,-61.005332946777344,-59.77114868164063,-64.22166442871094,-65.28856658935547,,-64.22166442871094,-59.45434,-61.00602722167969,-65.70331573486328,-60.76297378540039,-75.25,-77.93104305239409,-78.12400176851432,-62.0,-58.92011642456055,,-59.98857116699219,-58.92011642456055
-169.5,-61.956031799316406,-59.217960357666016,-61.2476921081543,-60.76297378540039,-59.77114868164063,-64.22166442871094,-65.28856658935547,,-64.00422668457031,-59.45434,-60.88484954833984,-65.70331573486328,-60.76297378540039,-75.25,-77.93083243323075,-78.15642177844748,-62.0,-58.92011642456055,,-59.98857116699219,-58.92011642456055
