,ACCESS-CM2,ACCESS-ESM1-5,CAS-ESM2-0,CMCC-CM2-HR4,CMCC-CM2-SR5,CMCC-ESM2,CanESM5,EC-Earth3,EC-Earth3-AerChem,EC-Earth3-CC,EC-Earth3-Veg-LR,FIO-ESM-2-0,GFDL-ESM4,IPSL-CM5A2-INCA,IPSL-CM6A-LR,IPSL-CM6A-LR-INCA,MIROC6,MPI-ESM-1-2-HAM,MPI-ESM1-2-HR,MPI-ESM1-2-LR,MRI-ESM2-0,NorCPM1,NorESM2-LM,NorESM2-MM,SAM0-UNICON,TaiESM1
1850-01-15,4.7974243,6.095682,0.0,11.714107,5.7788453,5.752221,12.482502,2.6979437,1.0282068,0.6516717,1.155575,11.75626,3.998944,2.2657683,7.2642407,6.3867483,0.07035452,0.7767703,1.907275,0.92254007,10.60936,11.165314,2.413158,3.2254682,13.464876,10.84292
1850-02-15,1.2689177,3.3466048,0.0,7.970191,1.2775054,1.3741001,8.05455,1.2730354,0.4704562,0.26445636,0.46630085,4.5816903,1.0851318,1.5574425,4.340921,3.2761304,0.005239922,0.47230306,0.7464541,0.41725892,5.686794,6.9654083,1.9439294,2.4331088,8.126359,6.216934
1850-03-15,1.82845,3.1788077,0.0,7.9785595,1.4607016,1.853728,9.175818,1.8240532,0.7800188,0.523878,0.74260056,4.7255073,2.3616402,1.6625599,5.1875114,4.0701075,0.12560472,0.75148153,1.0613285,0.56139016,6.6948953,7.5742617,2.7451217,3.2214618,7.409462,6.052252
1850-04-15,5.025052,4.8321896,0.0,10.69498,5.482571,5.608241,11.970668,3.7553043,2.039927,1.398053,2.1693678,9.373246,5.70773,3.2161484,9.248267,7.6419663,0.6170237,1.7625682,3.046773,1.8927268,10.304014,11.633258,4.1557713,5.204012,11.064724,9.496962
1850-05-15,8.989291,7.8276463,0.0,14.14469,9.286797,9.260883,15.377037,6.5164146,3.9522955,2.8902144,4.6366034,13.275423,9.3573,7.261568,12.888685,11.445893,1.4658935,2.996801,6.0175867,4.1160364,15.406175,15.491486,6.368471,7.791527,14.545421,13.136171
1850-06-15,12.364712,12.1032915,0.0,16.477034,12.154831,12.282717,18.385399,8.978121,6.323638,4.73937,7.4290285,16.44511,13.338208,12.007087,16.419973,15.457324,2.5049925,4.379304,8.882958,6.097117,19.03401,18.6758,8.867692,10.212589,17.193989,15.772911
1850-07-15,15.189068,14.99549,0.37946814,18.582329,14.992611,14.867608,21.068703,11.939125,9.198153,7.1250973,10.075815,18.44064,16.9436,16.708431,19.826437,18.559834,3.4579546,5.778306,11.605684,8.792923,21.5241,21.088278,11.212668,12.48013,19.197533,17.58086
1850-08-15,16.954565,16.86463,1.5388923,19.983671,16.782955,16.70877,22.67062,14.359424,11.216362,9.317902,12.298738,19.67242,19.33415,19.600967,21.502392,20.813698,3.913105,7.2605295,15.378245,11.956324,23.081837,22.820711,13.042539,14.521044,20.674742,19.094585
1850-09-15,18.136354,17.408548,1.8989799,19.775831,17.774677,17.330984,22.670385,14.966385,12.473639,10.179243,13.414464,20.393702,20.917807,20.679817,22.87959,21.61861,3.9653528,8.344501,17.766926,14.220713,23.421682,23.959438,12.842039,15.842596,21.002628,19.861252
1850-10-15,18.305576,17.278713,1.4921968,18.979952,17.359617,16.983429,21.659384,14.851001,12.373747,9.472123,12.923077,20.149128,21.05612,18.496578,22.15735,21.373018,3.6156967,8.335236,16.93244,12.849262,22.651155,23.729519,12.449715,15.039392,20.349577,19.808704
1850-11-15,16.923012,15.806779,0.17244914,17.55904,15.434135,15.505704,19.500809,13.242331,10.840204,7.330989,10.265434,18.44601,19.70769,13.074285,20.328007,19.487707,2.6080313,6.404644,12.484252,7.865331,21.009218,22.407112,10.532127,12.652615,19.044765,18.73593
1850-12-15,13.487955,11.118515,0.0,15.516971,11.589998,11.898579,16.447319,7.914691,6.6312666,3.7940135,5.038997,16.13133,14.94778,4.9307756,15.635876,14.57679,0.82423925,2.8629875,7.2220025,4.3934283,17.107431,19.649982,5.8867407,7.29328,16.788033,15.820179
1851-01-15,4.827735,7.4418635,0.0,11.824602,4.2348313,4.750247,11.605108,1.9131211,0.90679204,0.84394133,1.031246,10.905478,4.343701,2.1129546,6.8530755,5.7229753,0.122131936,0.61249954,2.7363553,0.93450713,8.153181,13.375571,2.3636613,3.04955,13.776585,10.8669815
1851-02-15,0.9358764,4.7560325,0.0,7.1443233,0.9724329,0.8532478,7.224573,0.7133477,0.25124398,0.17344135,0.6035889,5.245578,1.5745791,1.5016131,3.9532442,2.8170795,0.01928568,0.22848989,0.8194237,0.2308608,4.6614203,8.37518,1.7725537,2.4314814,8.589437,4.5440173
1851-03-15,1.573926,4.5383735,0.0,7.234356,1.5218949,1.2360909,8.631205,1.1888928,0.53729296,0.31749177,0.86231494,4.9764867,2.7221978,1.5052618,5.1845675,3.6626046,0.09034133,0.33446446,0.9603272,0.49127147,5.313898,9.290693,2.3525352,3.107348,8.460463,4.1387954
1851-04-15,4.219695,6.1681895,0.0,9.992389,4.6845617,4.8394084,11.806445,3.1646557,2.6208947,1.5229418,1.9781626,9.101973,6.170754,2.9249427,8.878184,6.616882,0.8322277,1.346873,2.4969318,1.8292754,8.462164,12.442995,3.893482,4.6825123,11.881843,7.672082
1851-05-15,8.429256,9.350515,0.0,13.477022,8.801146,8.575406,15.096746,6.002948,5.3278604,3.1788251,4.3794436,12.885483,10.008101,7.213323,13.998077,11.491802,1.9288157,2.6506639,5.5747623,3.763482,13.213335,16.422396,6.029544,7.0854125,15.480455,11.649326
1851-06-15,12.288525,13.147101,0.0,16.385658,12.1380005,12.251074,18.071959,8.875275,8.335098,5.106466,7.2602553,15.589445,13.80555,12.443637,17.83542,15.3475485,2.8392189,3.9549828,8.27179,6.188579,17.81529,19.555235,8.504314,9.875521,17.688892,14.684723
1851-07-15,15.371308,15.544426,0.48264405,18.537035,15.156293,15.602779,20.673887,11.325598,10.882216,7.81034,10.043371,18.011662,17.434906,17.929623,20.189884,18.441551,3.541032,5.653429,11.619333,8.849803,20.667913,21.86728,10.911267,12.261973,19.60972,17.269081
1851-08-15,17.563751,16.933828,1.0298065,19.798546,17.040531,16.979149,21.99192,13.469001,12.867226,9.908901,11.977296,19.55169,20.048323,21.542744,22.124287,20.633163,3.9680152,7.489424,15.047976,12.078978,22.8078,23.300022,12.745119,14.378537,20.784359,19.087301
1851-09-15,18.570597,18.055937,1.3378386,19.662504,17.662766,17.125366,21.94854,14.451431,13.450812,10.908873,13.050703,20.35152,21.28608,21.219404,22.781796,21.134878,4.096579,8.531346,16.72074,13.7888565,23.410122,24.251497,13.401286,15.272434,21.358486,19.776802
1851-10-15,17.970177,17.986286,1.2005572,19.155739,17.118896,17.207184,20.836422,14.112492,12.943235,10.2188225,12.821319,20.145052,21.592945,18.165539,22.018667,20.973166,3.7097008,8.553833,15.959611,12.64813,23.086971,23.753853,12.1665535,14.664812,20.787905,19.658756
1851-11-15,16.531786,16.708809,0.6534414,17.495234,15.57522,15.523464,19.311575,11.648619,11.12879,7.659217,10.872814,18.788326,20.245909,11.978889,20.331306,19.12711,2.6142564,5.9600735,12.990894,8.61046,21.231936,22.801327,9.673042,11.262931,19.347115,18.444855
1851-12-15,11.599984,13.260596,0.0,15.349985,12.101324,11.413044,16.797728,7.181395,7.4195194,3.345824,4.9551077,16.197243,14.736309,4.890389,14.967155,13.613792,0.85187155,2.4727354,7.892799,4.4205647,17.876368,20.83706,5.756384,6.060977,16.839138,15.950258
