Longitude,IPSL-CM6A-LR,MIROC6,SAM0-UNICON,CanESM5,MPI-ESM-1-2-HAM,MPI-ESM1-2-HR,MPI-ESM1-2-LR,GFDL-ESM4,NorESM2-LM,MRI-ESM2-0,NorESM2-MM,FIO-ESM-2-0,CMCC-CM2-SR5,EC-Earth3-AerChem,TaiESM1,NorCPM1,IPSL-CM5A2-INCA,ACCESS-ESM1-5,ACCESS-CM2,CMCC-CM2-HR4,EC-Earth3,EC-Earth3-Veg-LR,CAS-ESM2-0,EC-Earth3-CC,CMCC-ESM2,IPSL-CM6A-LR-INCA
-179.5,-63.338111877441406,-74.75,-60.25568389892578,-63.56246948242188,-78.20910004680931,-77.93395154635435,-78.20910004680931,-62.60036563873291,-63.4510383605957,-62.75,-63.67104721069336,-59.8550125,-61.2476921081543,-65.077880859375,-59.855013847351074,-58.385887145996094,-68.95891154959628,-59.217960357666016,-62.6025276184082,-61.30632781982422,-65.90741729736328,-66.51325988769531,-55.00102615356445,-66.3123893737793,-61.2476921081543,-63.1102352142334
-179.0,-63.338111877441406,-74.75,-60.25568389892578,-63.67290878295898,-78.16079075142859,-77.9338526289565,-78.16079075142859,-62.71474742889404,-63.225807189941406,-62.75,-63.56104278564453,-59.73629472222223,-61.2476921081543,-65.077880859375,-59.973731464809845,-58.385887145996094,-69.1369464764315,-59.217960357666016,-62.44090366363525,-61.245622634887695,-65.80536651611328,-66.61210060119629,-55.00102615356445,-66.2103385925293,-61.2476921081543,-63.2241735458374
-178.5,-63.338111877441406,-74.75,-60.25568389892578,-63.783348083496094,-78.11248145604789,-77.93374746855157,-78.11248145604789,-62.71474742889404,-63.00057601928711,-62.75,-63.4510383605957,-59.721455000000006,-61.2476921081543,-65.077880859375,-59.98857116699219,-58.385887145996094,-69.31498140326673,-59.217960357666016,-62.6025276184082,-60.82391166687012,-65.70331573486328,-66.51325988769531,-55.00102615356445,-66.3123893737793,-61.2476921081543,-63.338111877441406
-178.0,-63.338111877441406,-74.875,-60.25568389892578,-63.783348083496094,-78.06417216066717,-77.93363614032027,-78.06417216066717,-62.60036563873291,-63.11406898498535,-62.75,-63.4510383605957,-59.721455000000006,-61.2476921081543,-64.97253799438477,-59.98857116699219,-58.385887145996094,-69.49300003051758,-59.217960357666016,-62.44090366363525,-60.76274299621582,-65.70331573486328,-66.61210060119629,-55.00102615356445,-66.3123893737793,-61.12651252746582,-63.44855117797852
-177.5,-63.338111877441406,-75.0,-60.25568389892578,-63.783348083496094,-78.03259812409951,-77.93351867728484,-78.03259812409951,-62.60036563873291,-63.2275619506836,-62.625,-63.4510383605957,-59.721455000000006,-61.2476921081543,-64.86719512939453,-59.91437265608046,-58.385887145996094,-69.49300003051758,-59.217960357666016,-62.6025276184082,-60.70134162902832,-65.70331573486328,-66.71094131469727,-55.00102615356445,-66.3123893737793,-61.2476921081543,-63.338111877441406
-177.0,-63.2241735458374,-75.125,-60.25568389892578,-63.8937873840332,-78.06878508189706,-77.93339511424605,-78.06878508189706,-62.715189933776855,-63.2275619506836,-62.5,-63.33930015563965,-59.721455000000006,-61.12651252746582,-64.86719512939453,-59.79565503862169,-58.385887145996094,-69.49300003051758,-59.217960357666016,-62.44090366363525,-61.00602722167969,-65.70331573486328,-66.71094131469727,-55.00102615356445,-66.21195411682129,-61.12651252746582,-63.338111877441406
-176.5,-63.1102352142334,-75.25,-60.25568389892578,-64.00422668457031,-78.10497203969462,-77.93326548779005,-78.10497203969462,-62.82957172393799,-63.2275619506836,-62.5,-63.2275619506836,-59.721455000000006,-61.005332946777344,-64.86719512939453,-59.67693742116292,-58.385887145996094,-69.08233303459646,-59.217960357666016,-62.27927970886231,-61.00602722167969,-65.70331573486328,-66.71094131469727,-55.00102615356445,-66.11151885986328,-61.005332946777344,-63.338111877441406
-176.0,-62.99805641174317,-75.5,-60.25568389892578,-63.8937873840332,-78.14115899749217,-77.93312983629298,-78.14115899749217,-62.715189933776855,-63.11406898498535,-62.5,-63.2275619506836,-59.721455000000006,-60.88415336608887,-64.97253799438477,-59.55821980370416,-58.385887145996094,-68.4249382019043,-59.217960357666016,-62.27927970886231,-61.1269760131836,-65.70331573486328,-66.90669441223145,-55.00102615356445,-66.3123893737793,-60.88415336608887,-63.22593307495117
-175.5,-62.88587760925293,-75.75,-60.25568389892578,-63.783348083496094,-78.17668555623023,-77.93298819990697,-78.17668555623023,-62.88654136657715,-63.00057601928711,-62.5,-63.2275619506836,-59.70661527777778,-60.76297378540039,-65.077880859375,-59.45434188842773,-58.385887145996094,-68.4249382019043,-59.217960357666016,-62.27927970886231,-61.186988830566406,-65.70331573486328,-67.10244750976562,-55.00102615356445,-66.51325988769531,-60.76297378540039,-63.11375427246094
-175.0,-62.7701587677002,-75.75,-60.25568389892578,-63.783348083496094,-78.21170766450503,-77.93284062043884,-78.21170766450503,-63.057007789611816,-62.88708305358887,-62.5,-63.33930015563965,-59.5878975,-60.76297378540039,-65.18322372436523,-59.45434188842773,-58.385887145996094,-68.4249382019043,-59.217960357666016,-62.27927970886231,-61.1269760131836,-65.90741729736328,-67.10244750976562,-55.00102615356445,-66.51325988769531,-60.76297378540039,-63.22593307495117
-174.5,-62.65443992614746,-75.75,-60.25568389892578,-63.783348083496094,-78.24672977277984,-77.93268665059959,-78.24672977277984,-63.000038146972656,-62.77359008789063,-62.375,-63.4510383605957,-59.46917972222222,-60.76297378540039,-65.28856658935547,-59.45434188842773,-58.385887145996094,-68.4249382019043,-59.217960357666016,-62.27927970886231,-61.00625991821289,-65.90741729736328,-67.10244750976562,-55.00102615356445,-66.51325988769531,-60.76297378540039,-63.11375427246094
-174.0,-62.65443992614746,-75.875,-60.25568389892578,-63.67290878295898,-78.28175188105466,-77.9325267927984,-78.28175188105466,-62.99959564208984,-62.77359008789063,-62.25,-63.4510383605957,-59.45434,-61.00349235534668,-65.18322372436523,-59.45434188842773,-58.385887145996094,-68.4249382019043,-59.217960357666016,-62.11765575408936,-61.06673240661621,-65.90741729736328,-67.10244750976562,-55.00102615356445,-66.51325988769531,-60.76297378540039,-63.11375427246094
-173.5,-62.65443992614746,-76.0,-60.25568389892578,-63.56246948242188,-78.23920920671306,-77.93236113604574,-78.23920920671306,-62.94218349456787,-62.77359008789063,-62.25,-63.4510383605957,-59.45434,-61.005332946777344,-65.077880859375,-59.45434188842773,-58.385887145996094,-68.32999374304899,-59.217960357666016,-61.956031799316406,-61.00625991821289,-65.90741729736328,-67.10244750976562,-55.00102615356445,-66.51325988769531,-60.76297378540039,-63.11375427246094
-173.0,-62.53692054748535,-76.0,-60.25568389892578,-63.55551052093506,-78.18713093537536,-77.93218972944096,-78.18713093537536,-62.82824420928955,-62.65832233428955,-62.25,-63.225807189941406,-59.45434,-60.88415336608887,-65.18322372436523,-59.38014390733507,-58.385887145996094,-68.23504928419369,-59.217960357666016,-62.11765575408936,-60.94555473327637,-65.90741729736328,-67.10244750976562,-55.00102615356445,-66.4128246307373,-60.76297378540039,-62.99981594085693
-172.5,-62.41940116882324,-76.0,-60.25568389892578,-63.338111877441406,-78.13505266403767,-77.93201262375807,-78.13505266403767,-62.71385765075684,-62.77359008789063,-62.125,-63.00057601928711,-59.45434,-60.76297378540039,-65.28856658935547,-59.26142713758681,-58.385887145996094,-68.3299879480991,-59.217960357666016,-62.27927970886231,-60.88461685180664,-65.90741729736328,-67.10244750976562,-55.00102615356445,-66.3123893737793,-60.76297378540039,-62.88587760925293
-172.0,-62.41940116882324,-76.125,-60.25568389892578,-63.11199474334717,-78.08297439269997,-77.93182987143612,-78.08297439269997,-62.71385765075684,-62.65832233428955,-62.0,-63.00057601928711,-59.45434,-60.76297378540039,-65.28691101074219,-59.231747945149735,-58.385887145996094,-68.42493240695441,-59.217960357666016,-61.956031799316406,-60.883920669555664,-65.90741729736328,-67.19770622253418,-55.00102615356445,-66.3123893737793,-60.76297378540039,-62.771939277648926
-171.5,-62.41940116882324,-76.25,-60.25568389892578,-62.88587760925293,-78.03089612136228,-77.93164152656064,-78.03089612136228,-62.5994758605957,-62.54305458068848,-62.0,-63.00057601928711,-59.45434,-60.76297378540039,-65.077880859375,-59.350464714898,-58.385887145996094,-68.4249382019043,-59.217960357666016,-61.956031799316406,-60.82344818115234,-65.90741729736328,-67.29296493530273,-55.00102615356445,-66.3123893737793,-60.76297378540039,-62.65800094604492
-171.0,-62.41940116882324,-76.25,-60.25568389892578,-62.99805641174317,-78.05871534147764,-77.93144764484497,-78.05871534147764,-62.4272346496582,-62.4277868270874,-62.0,-62.88708305358887,-59.45434,-60.76297378540039,-65.28691101074219,-59.45434188842773,-58.385887145996094,-68.4249382019043,-59.217960357666016,-61.956031799316406,-60.82344818115234,-65.80536651611328,-67.29296493530273,-55.00102615356445,-66.3123893737793,-60.76297378540039,-62.65800094604492
-170.5,-62.41940116882324,-76.25,-60.25568389892578,-63.1102352142334,-78.09135855499598,-77.93124828362446,-78.09135855499598,-62.36937522888184,-62.31251907348633,-62.0,-62.77359008789063,-59.45434,-60.76297378540039,-65.49594116210938,-59.45434188842773,-58.385887145996094,-68.4249382019043,-59.217960357666016,-61.956031799316406,-60.94508934020996,-65.70331573486328,-67.29296493530273,-55.00102615356445,-66.3123893737793,-60.76297378540039,-62.65800094604492
-170.0,-62.41940116882324,-76.38970588235294,-60.25568389892578,-62.88233757019043,-78.12400176851432,-77.93104305239409,-78.12400176851432,-62.31106758117676,-62.31251907348633,-62.0,-62.65832233428955,-59.45434,-60.76297378540039,-65.49594116210938,-59.45434188842773,-58.385887145996094,-68.4249382019043,-59.217960357666016,-61.956031799316406,-61.06673240661621,-65.70331573486328,-67.38987731933594,-55.00102615356445,-66.3123893737793,-60.76297378540039,-62.54228210449219
-169.5,-62.41940116882324,-76.52941176470588,-60.25568389892578,-62.65443992614746,-78.15642177844748,-77.93083243323075,-78.15642177844748,-62.07828521728516,-62.31251907348633,-62.0,-62.54305458068848,-59.35046388888889,-60.76297378540039,-65.49594116210938,-59.45434188842773,-58.385887145996094,-68.51684808609934,-59.217960357666016,-61.956031799316406,-61.12720489501953,-65.70331573486328,-67.48678970336914,-55.00102615356445,-66.3123893737793,-60.76297378540039,-62.42656326293945
-169.0,-62.30546283721924,-76.625,-60.25568389892578,-62.54050159454346,-78.18790281999266,-77.93061652676849,-78.18790281999266,-62.01952648162842,-62.4277868270874,-62.0,-62.4277868270874,-59.23174833333333,-60.76297378540039,-65.28691101074219,-59.45434188842773,-58.385887145996094,-68.60876919113242,-59.217960357666016,-61.956031799316406,-61.06673240661621,-65.70331573486328,-67.38987922668457,-55.00102615356445,-66.3123893737793,-60.76297378540039,-62.54228210449219
-168.5,-62.191524505615234,-76.75,-60.32988188001845,-62.42656326293945,-78.21938386153785,-77.93039539701425,-78.21938386153785,-61.90200901031494,-62.31251907348633,-62.0,-62.31251907348633,-59.261427222222224,-60.76297378540039,-65.077880859375,-59.45434188842773,-58.385887145996094,-68.7006902961655,-59.217960357666016,-61.956031799316406,-60.94508934020996,-65.70331573486328,-67.29296875,-55.00102615356445,-66.3123893737793,-60.76297378540039,-62.65800094604492
