Longitude,IPSL-CM6A-LR,MIROC6,SAM0-UNICON,CanESM5,MPI-ESM-1-2-HAM,MPI-ESM1-2-HR,MPI-ESM1-2-LR,GFDL-ESM4,NorESM2-LM,MRI-ESM2-0,NorESM2-MM,FIO-ESM-2-0,CMCC-CM2-SR5,EC-Earth3-AerChem,TaiESM1,NorCPM1,IPSL-CM5A2-INCA,ACCESS-ESM1-5,ACCESS-CM2,CMCC-CM2-HR4,EC-Earth3,EC-Earth3-Veg-LR,CAS-ESM2-0,EC-Earth3-CC,CMCC-ESM2,IPSL-CM6A-LR-INCA
-179.5,-69.99960911018455,-72.05650946497917,-61.85836410522461,-66.90862274169922,-74.65789984320875,-77.33759720491256,-74.78570146915531,-71.2794418334961,-66.81043243408203,-66.0,-66.0101432800293,-61.858365000000006,-62.65800094604492,-75.1270097871654,-62.1254768371582,-59.053672790527344,-77.28204559816739,-59.57159996032715,-63.5413932800293,-62.01963996887207,-76.16733493784218,-75.46499324289528,-63.00088310241699,-75.70236534998719,-61.960086822509766,-68.77151690165616
-179.0,-70.08619668139879,-72.04575999081135,-61.85836410522461,-67.00588798522949,-74.64802642149604,-77.16576588941079,-74.77504755937606,-71.83181571960449,-66.61195945739746,-66.0,-66.00851249694824,-61.858365000000006,-62.54228210449219,-75.38352037318958,-62.1254768371582,-58.93495602077908,-77.22819243125403,-59.57159996032715,-63.387451171875,-62.07828521728516,-76.2353412201026,-75.54784944033999,-63.00088310241699,-75.6415802423739,-61.842567443847656,-68.86379333023667
-178.5,-70.17219668718361,-72.03501051664352,-61.85836410522461,-67.10315322875977,-74.6381529997833,-76.99393457390903,-74.7643936495968,-72.15062325089066,-66.41348648071289,-66.0,-66.21342468261719,-61.858365000000006,-62.42656326293945,-75.6181171992981,-62.02159966362847,-58.92011642456055,-77.17433926434069,-59.57159996032715,-63.2335090637207,-62.07828521728516,-76.2966452268144,-75.63063301982085,-63.00088310241699,-75.55338979623423,-61.72504806518555,-68.95606939153987
-178.0,-70.25805621975042,-72.0242610424757,-61.85836410522461,-66.90704727172852,-74.62827957807059,-76.82210325840727,-74.75373973981753,-72.83427202012804,-66.11017417907715,-66.0,-66.0101432800293,-61.858365000000006,-62.31084442138672,-75.78156585996541,-61.90288289388021,-58.92011642456055,-77.12048064901148,-59.39478015899658,-63.2335090637207,-61.96076774597168,-76.36464424044368,-75.64646147761508,-63.00088310241699,-75.50438235506968,-61.72504806518555,-69.04686053526484
-177.5,-70.3416925365311,-72.01351156830788,-61.85836410522461,-66.71094131469727,-74.61840615635786,-77.71655137613955,-74.74308583003827,-72.94253091458921,-65.8068618774414,-65.875,-65.8068618774414,-61.78416638888889,-62.195125579833984,-75.94455358809651,-61.78416612413194,-58.92011642456055,-77.00711625180075,-59.217960357666016,-63.5413932800293,-62.01963996887207,-76.4319436706375,-75.69175154612876,-63.00088310241699,-75.55382656306716,-61.72504806518555,-69.13792584767144
-177.0,-70.25874076969063,-72.00276209414005,-61.85836410522461,-67.10315322875977,-74.60853273464514,-76.79369831963263,-74.732431920259,-72.98174268228037,-65.8068618774414,-65.75,-65.6003189086914,-61.66544861111112,-62.195125579833984,-76.10736422919103,-61.66544935438368,-58.92011642456055,-76.89375185459002,-59.217960357666016,-63.387451171875,-62.07828521728516,-76.49918519327072,-75.76007644333562,-63.00088310241699,-75.69535465698206,-61.72504806518555,-69.40152690517874
-176.5,-70.50808247918901,-71.99201261997223,-61.85836410522461,-67.10315322875977,-74.59865931293241,-77.13187964658097,-74.72177801047975,-73.3661888631185,-65.8068618774414,-65.75,-65.3937759399414,-61.59125,-62.195125579833984,-76.22111212433344,-61.591251373291016,-58.92011642456055,-76.78038745737928,-59.217960357666016,-63.2335090637207,-62.07738304138184,-76.45085593112401,-75.78450746403891,-63.00088310241699,-75.7240890007629,-61.72504806518555,-69.6645322160254
-176.0,-70.50464763412045,-71.9812631458044,-61.85836410522461,-67.10315322875977,-74.58878589121969,-77.56083503060083,-74.71112410070049,-73.90322120666504,-65.6003189086914,-65.75,-65.18392562866211,-61.59125,-62.07760620117188,-76.28986238512617,-61.591251373291016,-58.92011642456055,-76.66702651977539,-59.39478015899658,-63.2335090637207,-62.252872467041016,-76.40211118133439,-75.78957060117389,-63.00088310241699,-75.67314532514561,-61.72504806518555,-69.75108835959017
-175.5,-70.49807837356451,-71.97051367163658,-61.84352450900607,-67.10315322875977,-74.57891246950697,-77.49263987236807,-74.70047019092122,-74.36353172302246,-65.3937759399414,-65.75,-64.97407531738281,-61.59125,-61.960086822509766,-75.82360095304787,-61.591251373291016,-58.890437020195854,-76.57438752752239,-59.57159996032715,-63.2335090637207,-62.19422721862793,-76.45147732010511,-75.87298306493096,-63.00088310241699,-75.66412901615931,-61.72504806518555,-69.83728864141963
-175.0,-70.41792762028027,-71.95976419746876,-61.72480773925781,-67.10315322875977,-74.56903904779423,-77.46963685095349,-74.68981628114196,-74.45559425354004,-65.3937759399414,-65.75,-64.97407531738281,-61.59125,-61.960086822509766,-75.89254403817836,-61.591251373291016,-58.65300178527832,-76.44888876346545,-59.39478015899658,-63.2335090637207,-62.07467460632324,-76.51816046046142,-76.0036106629363,-63.00088310241699,-75.66879042628364,-61.60570907592773,-69.83746791577805
