Longitude,IPSL-CM6A-LR,MIROC6,SAM0-UNICON,CanESM5,MPI-ESM-1-2-HAM,MPI-ESM1-2-HR,MPI-ESM1-2-LR,GFDL-ESM4,NorESM2-LM,MRI-ESM2-0,NorESM2-MM,FIO-ESM-2-0,CMCC-CM2-SR5,EC-Earth3-AerChem,TaiESM1,NorCPM1,IPSL-CM5A2-INCA,ACCESS-ESM1-5,ACCESS-CM2,CMCC-CM2-HR4,EC-Earth3,EC-Earth3-Veg-LR,CAS-ESM2-0,EC-Earth3-CC,CMCC-ESM2,IPSL-CM6A-LR-INCA
-179.5,-66.1082878112793,-72.80797101449275,-60.78990936279297,-65.70004272460938,-75.08224314922765,-74.214090198879,-74.38835927319529,-67.24924659729004,-64.33111190795898,-64.0,-64.54769134521484,-60.255685,-61.2476921081543,-68.95561733487764,-60.78990936279297,-58.385887145996094,-75.13901592051224,-59.57159996032715,-62.6025276184082,-61.72504806518555,-67.67727661132812,-71.89645904464878,-57.00099563598633,-70.00450412978513,-61.48637008666992,-65.70331573486328
-179.0,-66.1082878112793,-72.80697066278768,-60.78990936279297,-65.59469985961914,-75.33685024074795,-74.23405850868974,-74.51681331275338,-67.24924659729004,-64.22110748291016,-64.0,-64.43940162658691,-60.255685,-61.2476921081543,-68.77587633213712,-60.78990936279297,-58.385887145996094,-75.24795404236913,-59.39478015899658,-62.6025276184082,-61.72504806518555,-67.67728042602539,-71.94939824263736,-57.00099563598633,-69.92011153041221,-61.36703109741211,-65.80536651611328
-178.5,-66.1082878112793,-72.79561599589283,-60.78990936279297,-65.70004272460938,-75.57841803784572,-73.82232492307475,-74.70517585919367,-67.15237236022949,-64.11110305786133,-64.0,-64.33111190795898,-60.151806944444445,-61.2476921081543,-68.59614439853502,-60.78990936279297,-58.385887145996094,-75.35689216422602,-59.217960357666016,-62.6025276184082,-61.66572189331055,-67.67728424072266,-72.06725322731533,-57.00099563598633,-69.83611393780956,-61.2476921081543,-65.90741729736328
-178.0,-66.1082878112793,-72.78426132899799,-60.78990936279297,-65.70004272460938,-75.90957625755217,-73.91045352075096,-74.78084620056936,-67.1998405456543,-64.0028133392334,-64.0,-64.22110748291016,-60.03308916666667,-61.2476921081543,-68.59923232800148,-60.78990936279297,-58.385887145996094,-75.4658086286545,-59.217960357666016,-62.6025276184082,-61.66572189331055,-67.77100658332344,-73.0624308017857,-57.00099563598633,-69.83631991260435,-61.12651252746582,-65.90741729736328
-177.5,-66.1082878112793,-72.77290666210314,-60.78990936279297,-65.70004272460938,-76.38487827064509,-74.2738613188014,-74.85651654194504,-67.24691390991211,-63.89452362060547,-64.0,-64.11110305786133,-59.98857,-61.2476921081543,-68.60229680876822,-60.7157113817003,-58.385887145996094,-75.33818987894061,-59.217960357666016,-62.6025276184082,-61.3072452545166,-67.86472320591565,-72.84335783727346,-57.00099563598633,-69.8693250656877,-61.005332946777344,-65.90741729736328
-177.0,-66.1082878112793,-72.7615519952083,-60.78990936279297,-65.80373001098633,-76.52065945761609,-74.81926718290882,-74.93218688332072,-67.24535751342773,-63.89452362060547,-64.0,-64.0028133392334,-59.98857,-61.12651252746582,-68.51164516095248,-60.59699461195204,-58.385887145996094,-75.21057112922671,-59.217960357666016,-62.6025276184082,-61.12628364562988,-67.86473083531018,-72.04692252841446,-57.00099563598633,-70.10163637288628,-61.005332946777344,-65.90741729736328
-176.5,-66.1082878112793,-72.75019732831345,-60.78990936279297,-65.90741729736328,-76.6530331184328,-74.99654429598,-75.00785722469641,-67.3863353729248,-63.89452362060547,-64.0,-63.89452362060547,-59.98857,-61.005332946777344,-68.42099318564956,-60.522796630859375,-58.34136803944905,-75.0829523795128,-59.217960357666016,-62.6025276184082,-61.00602722167969,-67.86474409334932,-71.8389754702144,-57.00099563598633,-70.33563200937883,-61.005332946777344,-65.90741729736328
-176.0,-66.1082878112793,-72.7388426614186,-60.78990936279297,-66.10990333557129,-76.7852018499608,-74.99641062678253,-75.08352756607209,-67.33419036865234,-63.89452362060547,-64.0,-63.89452362060547,-59.98857,-61.005332946777344,-68.32880852348725,-60.522796630859375,-58.22265042199029,-74.95533537467603,-59.217960357666016,-62.59864902496338,-60.94555473327637,-68.05069950086764,-71.83251481411,-57.00099563598633,-70.72429488118047,-61.005332946777344,-65.90741729736328
-175.5,-66.1082878112793,-72.72826086956522,-60.78990936279297,-66.3123893737793,-77.05944831270241,-75.34095051800885,-75.15919790744779,-67.1437931060791,-63.89452362060547,-64.0,-63.89452362060547,-59.98857,-61.005332946777344,-68.23663511746437,-60.49311743842231,-58.11877250671387,-75.02684894757218,-59.217960357666016,-62.6025276184082,-61.00602722167969,-68.2366406574058,-71.8260068359813,-57.00099563598633,-71.0782905833218,-61.005332946777344,-65.90741729736328
-175.0,-66.00785255432129,-72.72735507246377,-60.78990936279297,-66.3123893737793,-77.34365384421912,-75.38768821319847,-75.23486824882349,-67.10061073303223,-63.672780990600586,-64.0,-63.89452362060547,-59.98857,-61.005332946777344,-68.3288758119802,-60.25568389892578,-58.11877250671387,-75.17317273588145,-59.217960357666016,-62.43702507019043,-61.00602722167969,-68.41964775214652,-71.81795577157762,-57.00099563598633,-71.1343812308601,-61.005332946777344,-65.90741729736328
