Longitude,IPSL-CM6A-LR,MIROC6,SAM0-UNICON,CanESM5,MPI-ESM-1-2-HAM,MPI-ESM1-2-HR,MPI-ESM1-2-LR,GFDL-ESM4,NorESM2-LM,MRI-ESM2-0,NorESM2-MM,FIO-ESM-2-0,CMCC-CM2-SR5,EC-Earth3-AerChem,TaiESM1,NorCPM1,IPSL-CM5A2-INCA,ACCESS-ESM1-5,ACCESS-CM2,CMCC-CM2-HR4,EC-Earth3,EC-Earth3-Veg-LR,CAS-ESM2-0,EC-Earth3-CC,CMCC-ESM2,IPSL-CM6A-LR-INCA
-179.5,-61.960086822509766,-73.25,-60.38924026489258,-60.0209846496582,-78.20910004680931,-77.93395154635435,-78.20910004680931,-61.00602722167969,-62.77359008789063,-62.0,-63.4510383605957,-59.45434,-61.2476921081543,-64.00422668457031,-59.32078647613525,-58.385887145996094,-66.1082878112793,-59.217960357666016,-62.27927970886231,-61.30632781982422,-64.86719512939453,-64.43910217285156,-55.00102615356445,-65.077880859375,-61.2476921081543,-62.42656326293945
-179.0,-61.84074783325195,-73.25,-60.50795703464084,-60.14590263366699,-78.16079075142859,-77.9338526289565,-78.16079075142859,-61.12720489501953,-62.77359008789063,-62.0,-63.33930015563965,-59.45434,-61.2476921081543,-63.8937873840332,-59.43950409359402,-58.385887145996094,-66.1082878112793,-59.217960357666016,-62.11765575408936,-61.06627082824707,-64.86719512939453,-64.43910217285156,-55.00102615356445,-65.077880859375,-61.2476921081543,-62.42656326293945
-178.5,-61.72140884399414,-73.25,-60.522796630859375,-60.27082061767578,-78.11248145604789,-77.93374746855157,-78.11248145604789,-61.18733310699463,-62.77359008789063,-62.0,-63.2275619506836,-59.45434,-61.2476921081543,-63.783348083496094,-59.45434379577637,-58.385887145996094,-66.1082878112793,-59.217960357666016,-61.956031799316406,-60.82391166687012,-64.86719512939453,-64.43910217285156,-55.00102615356445,-65.077880859375,-61.2476921081543,-62.42656326293945
-178.0,-61.72140884399414,-73.25,-60.522796630859375,-60.39385890960693,-78.06417216066717,-77.93363614032027,-78.06417216066717,-61.24746131896973,-62.65832233428955,-62.0,-63.2275619506836,-59.45434,-61.2476921081543,-63.67290878295898,-59.45434379577637,-58.385887145996094,-66.1082878112793,-59.217960357666016,-61.95224189758301,-60.94555473327637,-64.97253799438477,-64.43910217285156,-55.00102615356445,-64.86551475524902,-61.2476921081543,-62.42656326293945
-177.5,-61.72140884399414,-73.25,-60.522796630859375,-60.516897201538086,-78.03259812409951,-77.93351867728484,-78.03259812409951,-61.30758953094482,-62.77359008789063,-62.0,-63.2275619506836,-59.45434,-61.2476921081543,-63.56246948242188,-59.38014528486464,-58.385887145996094,-66.1082878112793,-59.217960357666016,-61.94845199584961,-60.94555473327637,-64.86719512939453,-64.43910217285156,-55.00102615356445,-64.65314865112305,-61.2476921081543,-62.42656326293945
-177.0,-61.72140884399414,-73.375,-60.522796630859375,-60.39385890960693,-78.06878508189706,-77.93339511424605,-78.06878508189706,-61.42738723754883,-62.65832233428955,-62.0,-63.2275619506836,-59.45434,-61.2476921081543,-63.56246948242188,-59.26142766740587,-58.385887145996094,-66.1082878112793,-59.217960357666016,-61.78682804107666,-61.24746131896973,-64.76017189025879,-64.33038330078125,-55.00102615356445,-64.65314865112305,-61.36703109741211,-62.54228210449219
-176.5,-61.72140884399414,-73.5,-60.522796630859375,-60.27082061767578,-78.10497203969462,-77.93326548779005,-78.10497203969462,-61.48705673217773,-62.54305458068848,-61.875,-63.2275619506836,-59.40982166666667,-61.2476921081543,-63.56246948242188,-59.18722915649414,-58.430406252543136,-66.1082878112793,-59.217960357666016,-61.62520408630371,-61.24746131896973,-64.65314865112305,-64.22166442871094,-55.00102615356445,-64.65314865112305,-61.48637008666992,-62.65800094604492
-176.0,-61.72140884399414,-73.5,-60.522796630859375,-60.26894092559815,-78.14115899749217,-77.93312983629298,-78.14115899749217,-61.54672622680664,-62.54305458068848,-61.75,-63.2275619506836,-59.29110611111111,-61.12651252746582,-63.56246948242188,-59.18722915649414,-58.5491238700019,-66.10828472161113,-59.39478015899658,-61.62520408630371,-61.2476921081543,-64.65314865112305,-64.22166442871094,-55.00102615356445,-64.65314865112305,-61.48637008666992,-62.65800094604492
-175.5,-61.72140884399414,-73.5,-60.522796630859375,-60.0209846496582,-78.17668555623023,-77.93298819990697,-78.17668555623023,-61.5462703704834,-62.54305458068848,-61.625,-63.2275619506836,-59.18723,-61.005332946777344,-63.56246948242188,-59.20206875271268,-58.65300178527832,-66.00704247492416,-59.217960357666016,-61.62520408630371,-61.24746131896973,-64.65314865112305,-64.22166442871094,-55.00102615356445,-64.65314865112305,-61.48637008666992,-62.65800094604492
-175.0,-61.72140884399414,-73.625,-60.522796630859375,-60.0209846496582,-78.21170766450503,-77.93284062043884,-78.21170766450503,-61.36771774291992,-62.54305458068848,-61.5,-63.2275619506836,-59.18723,-61.12651252746582,-63.56246948242188,-59.32078552246094,-58.65300178527832,-65.90580022823721,-59.217960357666016,-61.62520408630371,-61.187448501586914,-64.65314865112305,-64.22166442871094,-55.00102615356445,-64.5461254119873,-61.36703109741211,-62.54228210449219
